,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 232.5)","(233.5, 411.5)","(412.5, 607.5)","(608.5, 996.5)","(997.5, 1292.5)","(1293.5, 1395.5)","(1396.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",222.0,178.0,195.0,388.0,295.0,102.0,705.0,243.0
Number of epochs,197,151,168,327,247,90,615,222
