Source,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
dissim,584.1820272259014,0.35357981565595215,0.06798955846532843,0.0921593472551015,0.04689402695636521,11672.93340691685,12424.478844738778,-751.5454378219279
channel-25,914.6047619047619,0.45784779093606465,0.08804306277348645,0.21289375078784223,0.10832808158517138,9509.385714285714,7683.780952380952,1825.604761904762
channel-20,919.1380952380953,0.5069445594073583,0.097462955999924,0.2771868823236474,0.141042764719847,9129.576190476191,6767.147619047619,2362.4285714285716
channel-29,924.5142857142857,0.507632546478776,0.09759495582304299,0.22551492306147644,0.11475019296560943,8854.7,7577.414285714286,1277.2857142857142
channel-26,921.1476190476191,0.5312016034969752,0.10211700498171758,0.2529652544766685,0.12871791973109953,8739.842857142858,6870.480952380953,1869.3619047619047
channel-30,925.3904761904762,0.6076277597081149,0.11678041875887701,0.21989007609547548,0.11188806630016175,8144.309523809524,7631.2,513.1095238095238
channel-21,907.3238095238095,0.6157813125511166,0.1183447905004123,0.24273678046084374,0.12351330022687428,8160.995238095238,7174.571428571428,986.4238095238095
channel-24,926.0238095238095,0.6267682089345276,0.12045277833839348,0.26008358415346233,0.1323399847054083,7839.676190476191,7042.695238095238,796.9809523809524
channel-13,932.6904761904761,0.6569538342952999,0.12624430753115437,0.2335697654927898,0.1188487896826383,8071.452380952381,7607.157142857143,464.2952380952381
channel-15,931.7523809523809,0.6762368984694331,0.12994402975839392,0.250432748902804,0.1274292888088425,8290.190476190477,7060.219047619048,1229.9714285714285
channel-10,944.0666666666667,0.6851306820634849,0.1316527757595007,0.3880889060958722,0.1974737470042,7603.5,5619.042857142857,1984.4571428571428
channel-8,936.3809523809524,0.6973627219395002,0.13399848619382673,0.2238640987010943,0.11391019350422328,7593.285714285715,7634.038095238096,-40.75238095238095
channel-31,928.2190476190476,0.7182855972061893,0.13801165344817864,0.2448762963868737,0.12460196372653105,7885.761904761905,7198.661904761905,687.1
channel-5,944.2619047619048,0.7354793667183637,0.141312866399027,0.38034755876881426,0.19353466799543947,7387.938095238095,5688.066666666667,1699.8714285714286
channel-34,937.1428571428571,0.796734878833909,0.1530632317828286,0.31872114023954745,0.16217690540477928,7681.4047619047615,5983.119047619048,1698.2857142857142
channel-16,932.5333333333333,0.8302796978011097,0.15950044405342406,0.461704013402514,0.2349317903742097,7088.214285714285,5109.304761904762,1978.9095238095238
channel-33,937.452380952381,0.8546852706747574,0.1641841657165524,0.344566860641092,0.17532814774009883,7561.72380952381,5795.090476190476,1766.6333333333334
channel-32,935.447619047619,0.8550804405850073,0.1642588091400642,0.3666488326544473,0.18656425803911864,7272.266666666666,5383.9,1888.3666666666666
overall,941.3505154639175,0.8757027313647758,0.16821584401125766,0.40393983603901007,0.2055392765264462,6786.54295532646,5673.254295532646,1113.2886597938145
channel-35,938.1333333333333,0.8839347765216096,0.16979608744953784,0.29897103102742123,0.152127331689582,7309.323809523809,6449.4047619047615,859.9190476190477
channel-12,932.3809523809524,0.9372494206766822,0.18002288762442697,0.30981960857934493,0.15764748242100954,6452.542857142857,6351.428571428572,101.11428571428571
channel-1,950.3857142857142,0.9422971201026027,0.18099606001507862,0.4307910027261618,0.21920212649164547,6306.828571428571,5586.766666666666,720.0619047619048
channel-14,941.3857142857142,0.9744856926820504,0.18716953153448163,0.40670262339844626,0.20694508319464539,6779.552380952381,5305.347619047619,1474.2047619047619
channel-36,939.8380952380952,0.9786537904458836,0.18796923866623755,0.32944786375153245,0.16763505236986267,7050.7,5793.980952380953,1256.7190476190476
channel-11,938.8666666666667,0.9822968449316823,0.1886682089924492,0.5864734037204339,0.2984189929984005,5996.661904761905,4669.338095238095,1327.3238095238096
channel-9,943.0333333333333,0.9891247840452969,0.18997824342871708,0.5871240975809497,0.29875008969498307,5953.366666666667,4755.204761904762,1198.1619047619047
channel-6,946.1380952380953,0.993454682255148,0.1908089942110621,0.4881346224595811,0.2483806453250204,6093.347619047619,5311.085714285714,782.2619047619048
channel-2,953.347619047619,1.0254847677240542,0.19696028546603123,0.6282537778825821,0.3196783665786355,5843.676190476191,4361.247619047619,1482.4285714285713
channel-37,940.4857142857143,1.0427713880814524,0.20027108545714978,0.39137177058529576,0.19914418782703905,6631.004761904762,5296.619047619048,1334.3857142857144
channel-3,943.1047619047619,1.135414894183343,0.21804602182822438,0.7221502842366281,0.3674563232506476,5703.390476190476,4269.114285714286,1434.2761904761905
channel-19,931.8857142857142,1.1623510288027528,0.2232117405707623,0.33923324329654464,0.17261420929565857,6118.452380952381,6160.042857142857,-41.59047619047619
channel-7,936.6142857142858,1.1774771462720361,0.2261138951509464,0.5645379181055981,0.28725742030544577,5622.371428571429,4815.152380952381,807.2190476190476
