Feature,IV,IVs
channel-0 landscape dim-1 max,0.5888510215430947,"[1.7063926525919524, 0.6980680995830355, 0.12447622581286279, 0.6233677539669225, 1.0186454738949489, 0.17362119256553687, 0.1827585759842656, 0.183478197945233]"
channel-0 landscape dim-1 mean,0.7465008126966648,"[2.105255549596962, 1.0567029640609835, 0.13792477397542632, 0.7570841784012259, 1.2166148038182483, 0.1936209785572071, 0.25255629447515576, 0.2522469586881088]"
channel-0 landscape dim-1 std,0.7562761697641658,"[2.269436965652904, 0.9492863827825737, 0.14245148779968997, 0.7230264448353263, 1.286233278236211, 0.20981907315692025, 0.23288034928681142, 0.23707537636288906]"
channel-0 landscape dim-1 sum,0.7465008126966648,"[2.105255549596962, 1.0567029640609835, 0.13792477397542632, 0.7570841784012259, 1.2166148038182483, 0.1936209785572071, 0.25255629447515576, 0.2522469586881088]"
channel-0 landscape dim-1 norm-1,0.7465008126966648,"[2.105255549596962, 1.0567029640609835, 0.13792477397542632, 0.7570841784012259, 1.2166148038182483, 0.1936209785572071, 0.25255629447515576, 0.2522469586881088]"
channel-0 landscape dim-1 norm-2,0.7458319150897526,"[2.1674800251160895, 0.9733339161065615, 0.14225929111459507, 0.7284714269177569, 1.3066526811978705, 0.16615658506621706, 0.23967801666950053, 0.24262337852942872]"
channel-0 landscape dim-2 max,0.34411140449166,"[0.9319776379713482, 0.41499721190210936, 0.09497016036889905, 0.38310388769983594, 0.6766138084815333, 0.05127740260015755, 0.06583402781337265, 0.13411709909602354]"
channel-0 landscape dim-2 mean,0.48945385507264483,"[1.5497562007782388, 0.6228048776528345, 0.0813087484601542, 0.4954356046184678, 0.8231876282771569, 0.0820926106591976, 0.07040370245141822, 0.19064146768369047]"
channel-0 landscape dim-2 std,0.4296305194523507,"[1.2359273864289841, 0.5721400692240475, 0.1172776124448118, 0.4616291024561569, 0.746586079152785, 0.07583010819878455, 0.073045631374109, 0.15460816633912694]"
channel-0 landscape dim-2 sum,0.48945385507264483,"[1.5497562007782388, 0.6228048776528345, 0.0813087484601542, 0.4954356046184678, 0.8231876282771569, 0.0820926106591976, 0.07040370245141822, 0.19064146768369047]"
channel-0 landscape dim-2 norm-1,0.48945385507264483,"[1.5497562007782388, 0.6228048776528345, 0.0813087484601542, 0.4954356046184678, 0.8231876282771569, 0.0820926106591976, 0.07040370245141822, 0.19064146768369047]"
channel-0 landscape dim-2 norm-2,0.44564855337285075,"[1.3090731687917605, 0.603940221550507, 0.1510887238668311, 0.4690107126704222, 0.7312937003066718, 0.07113789689101173, 0.07382277355176117, 0.15582122935384055]"
channel-0 silhouette-1 dim-1 max,0.3072429411710155,"[0.8616229189647452, 0.42520842873775955, 0.09406928022316234, 0.32186356183834014, 0.5336794607213327, 0.03997357074757472, 0.08607326382214837, 0.0954530443130612]"
channel-0 silhouette-1 dim-1 mean,0.7494421807978029,"[2.1082925646172157, 0.9149499114435842, 0.16463276420164502, 0.7161295380946617, 1.4000047248277674, 0.16711154146440077, 0.2728583128386293, 0.25155808889451947]"
channel-0 silhouette-1 dim-1 std,0.5530266073276437,"[1.5991905324898101, 0.7334656130996953, 0.17950841386168903, 0.5612059799006476, 0.9580195923924731, 0.0720816202690994, 0.15439019922978775, 0.16635090737794736]"
channel-0 silhouette-1 dim-1 sum,0.7494421807978029,"[2.1082925646172157, 0.9149499114435842, 0.16463276420164502, 0.7161295380946617, 1.4000047248277674, 0.16711154146440077, 0.2728583128386293, 0.25155808889451947]"
channel-0 silhouette-1 dim-1 norm-1,0.7494421807978029,"[2.1082925646172157, 0.9149499114435842, 0.16463276420164502, 0.7161295380946617, 1.4000047248277674, 0.16711154146440077, 0.2728583128386293, 0.25155808889451947]"
channel-0 silhouette-1 dim-1 norm-2,0.6074925960040136,"[1.643626967108195, 0.7972971341729678, 0.2474477808333899, 0.6727905199463147, 1.0421642282138648, 0.1256469156706383, 0.16721081962099835, 0.16375640246574047]"
channel-0 silhouette-1 dim-2 max,0.21286613752049915,"[0.5608617174658501, 0.21937068607014215, 0.09958119990965297, 0.2025489938650569, 0.4289388188780786, 0.07802623974629996, 0.03780362225130776, 0.07579782197760469]"
channel-0 silhouette-1 dim-2 mean,0.4169847163593173,"[1.169474030148022, 0.5250666631373739, 0.20967819058666756, 0.4047262534567273, 0.7183027430444976, 0.08264859406658602, 0.0866914318192261, 0.13928982461543798]"
channel-0 silhouette-1 dim-2 std,0.3104683606758236,"[0.8086507794472315, 0.39108716897856727, 0.16793222736757377, 0.3116473068465965, 0.538735641783317, 0.09333844530146891, 0.04220742983921166, 0.1301478858426223]"
channel-0 silhouette-1 dim-2 sum,0.4169847163593173,"[1.169474030148022, 0.5250666631373739, 0.20967819058666756, 0.4047262534567273, 0.7183027430444976, 0.08264859406658602, 0.0866914318192261, 0.13928982461543798]"
channel-0 silhouette-1 dim-2 norm-1,0.4169847163593173,"[1.169474030148022, 0.5250666631373739, 0.20967819058666756, 0.4047262534567273, 0.7183027430444976, 0.08264859406658602, 0.0866914318192261, 0.13928982461543798]"
channel-0 silhouette-1 dim-2 norm-2,0.30381123196958876,"[0.8239246029268719, 0.3722344648870379, 0.11511985988217348, 0.3182711181602258, 0.5300247776830898, 0.09678689202137536, 0.04210802112075968, 0.13202011907517616]"
channel-0 silhouette-2 dim-1 max,0.28101197524549715,"[0.7478029556177955, 0.36172579178200936, 0.11439267535267461, 0.2768697864401646, 0.48630214368679614, 0.1317845216207736, 0.05020622222461857, 0.07901170523914501]"
channel-0 silhouette-2 dim-1 mean,0.6743403386526896,"[1.9142378194055039, 0.836840616694552, 0.20806714864614337, 0.6349527466370942, 1.2184316585694919, 0.13907568193705488, 0.2442871946800119, 0.19882984265166415]"
channel-0 silhouette-2 dim-1 std,0.4740117630948816,"[1.3062238946451457, 0.5573564421797412, 0.20140537819204551, 0.5189990133649895, 0.8581113644612874, 0.09223799290817111, 0.11895931355846097, 0.13880070544921105]"
channel-0 silhouette-2 dim-1 sum,0.6743403386526896,"[1.9142378194055039, 0.836840616694552, 0.20806714864614337, 0.6349527466370942, 1.2184316585694919, 0.13907568193705488, 0.2442871946800119, 0.19882984265166415]"
channel-0 silhouette-2 dim-1 norm-1,0.6743403386526896,"[1.9142378194055039, 0.836840616694552, 0.20806714864614337, 0.6349527466370942, 1.2184316585694919, 0.13907568193705488, 0.2442871946800119, 0.19882984265166415]"
channel-0 silhouette-2 dim-1 norm-2,0.5050142528658703,"[1.3903993613545418, 0.5935702342666255, 0.25447978038525976, 0.5376919311368001, 0.8813493323213379, 0.11700735658591546, 0.12723659974815277, 0.1383794271283296]"
channel-0 silhouette-2 dim-2 max,0.17411687351669033,"[0.4597749364749324, 0.18732580736311816, 0.09799190445403104, 0.1859773689373511, 0.32099567733309975, 0.033734591732737726, 0.033912203894594733, 0.07322249794365783]"
