Algorithm,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
entropy,2016.2278481012659,0.47738843459749997,0.09104189968770435,0.14806041596648967,0.10085321751732373,3817.3291139240505,3349.9240506329115,467.40506329113924
amplitude-wasserstein-1,2016.9235668789809,0.5693708296331251,0.11218976199697764,0.21072714643904236,0.16027153010867598,3582.687898089172,2773.522292993631,809.1656050955414
life,2016.7556497175142,0.7906424173484159,0.16306276946916726,0.25435410868244646,0.2016370275654976,3039.101694915254,2349.4717514124295,689.6299435028249
bd2,2016.843220338983,0.8106447399536071,0.16766154474737582,0.30519898093674425,0.2498462845427138,2990.437853107345,2071.8785310734465,918.5593220338983
amplitude-wasserstein-2,2016.9490445859872,0.8512880520605199,0.17700593252828667,0.28668205315896045,0.23228920769132538,2846.936305732484,2038.3503184713377,808.5859872611464
amplitude-bottleneck,2016.5796178343949,1.0221313558138179,0.21628486914258963,0.24719390738428035,0.1948479853457542,2493.624203821656,2267.063694267516,226.56050955414014
landscape,2009.0443037974683,1.217070699253522,0.2611037759793416,0.24498691998452699,0.1927554002337679,2311.9915611814345,2387.9894514767934,-75.99789029535864
amplitude-landscape-2-2,2013.0063694267517,1.331620816553778,0.2874402298979276,0.2959120812689513,0.24104078434660678,2030.1783439490446,1945.0191082802548,85.1592356687898
amplitude-landscape-2-1,2013.0063694267517,1.3914681073444075,0.30119984405814904,0.2892291537563672,0.2347042757562633,1942.6751592356688,1976.8152866242037,-34.140127388535035
amplitude-landscape-1-2,2013.0,1.5461437823579949,0.3367616477762883,0.3116164754315527,0.25593111920810013,1757.3630573248408,1819.8407643312103,-62.47770700636943
silhouette-1,2009.0632911392406,1.5980724698216449,0.34870067950031797,0.2210078363017694,0.17001930599090123,1808.2721518987341,2622.1603375527425,-813.8881856540085
silhouette-2,2009.0632911392406,1.6244751762414509,0.3547709802327784,0.2014666686037048,0.1514910821322752,1742.9915611814347,2787.2552742616035,-1044.2637130801688
amplitude-landscape-1-1,2013.0063694267517,1.6495435160964198,0.3605344939939675,0.3006471718574364,0.24553042487218368,1673.9235668789809,1878.4777070063694,-204.55414012738854
amplitude-silhouette-2-1,2013.0063694267517,1.7685619109469426,0.3878982588273873,0.2453994523336706,0.19314654838990472,1590.216560509554,2301.127388535032,-710.9108280254777
amplitude-silhouette-2-2,2013.0063694267517,1.7889883392845776,0.39259454112996534,0.22270297087339208,0.17162657088411595,1500.6496815286623,2482.0254777070063,-981.375796178344
amplitude-silhouette-1-1,2013.0063694267517,2.0129960615693268,0.44409661894884606,0.2965972578162319,0.24169044380641239,1262.8025477707006,1920.8471337579617,-658.0445859872611
amplitude-silhouette-1-2,2013.0063694267517,2.0847504571817637,0.4605938201568515,0.2672138246598835,0.2138301421259904,1204.4458598726114,2130.4140127388537,-925.968152866242
