name,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF,Source,Algorithm,Dimension,Stat
channel-0 landscape dim-1 max,2017,1.0102982039965998,0.21356428478274195,0.5888510215430947,0.5187948237249992,2242,227,2015,channel-0,landscape,dim-1,max
channel-0 landscape dim-1 mean,2017,1.3102399770782762,0.2825245169605828,0.7465008126966648,0.6682726168073586,1673,74,1599,channel-0,landscape,dim-1,mean
channel-0 landscape dim-1 std,2017,1.3148536335589966,0.28358525224540304,0.7562761697641658,0.6775412545286653,1663,63,1600,channel-0,landscape,dim-1,std
channel-0 landscape dim-1 sum,2017,1.3102399770782736,0.2825245169605822,0.7465008126966648,0.6682726168073586,1676,72,1604,channel-0,landscape,dim-1,sum
channel-0 landscape dim-1 norm-1,2017,1.3102399770782736,0.2825245169605822,0.7465008126966648,0.6682726168073586,1675,75,1600,channel-0,landscape,dim-1,norm-1
channel-0 landscape dim-1 norm-2,2017,1.1503190001898635,0.24575675506124572,0.7458319150897526,0.6676383924462118,1947,77,1870,channel-0,landscape,dim-1,norm-2
channel-0 landscape dim-2 max,2017,0.7640604224873127,0.1569512481610876,0.34411140449166,0.2867416280373893,2851,1116,1735,channel-0,landscape,dim-2,max
channel-0 landscape dim-2 mean,2017,1.311149575707839,0.2827336446590652,0.4894538550726448,0.4245500488101402,1668,467,1201,channel-0,landscape,dim-2,mean
channel-0 landscape dim-2 std,2017,0.9320390852153632,0.19557156924419067,0.4296305194523507,0.36782773971024413,2412,635,1777,channel-0,landscape,dim-2,std
channel-0 landscape dim-2 sum,2017,1.311149575707839,0.2827336446590652,0.4894538550726448,0.4245500488101402,1670,469,1201,channel-0,landscape,dim-2,sum
channel-0 landscape dim-2 norm-1,2017,1.311149575707839,0.2827336446590652,0.4894538550726448,0.4245500488101402,1669,470,1199,channel-0,landscape,dim-2,norm-1
channel-0 landscape dim-2 norm-2,2017,0.9660677564147283,0.20339517128035192,0.4456485533728507,0.3830154563728202,2324,569,1755,channel-0,landscape,dim-2,norm-2
channel-0 silhouette-1 dim-1 max,2017,0.7894016552763153,0.16277750330003576,0.3072429411710155,0.2517842932310307,2775,1353,1422,channel-0,silhouette-1,dim-1,max
channel-0 silhouette-1 dim-1 mean,2017,1.2305522455125462,0.26420334610785934,0.7494421807978029,0.6710615149669045,1803,69,1734,channel-0,silhouette-1,dim-1,mean
channel-0 silhouette-1 dim-1 std,2017,1.0986019241170264,0.23386637534887822,0.5530266073276437,0.4848274182739033,2041,293,1748,channel-0,silhouette-1,dim-1,std
channel-0 silhouette-1 dim-1 sum,2017,1.2305522455125462,0.26420334610785934,0.7494421807978029,0.6710615149669045,1801,67,1734,channel-0,silhouette-1,dim-1,sum
channel-0 silhouette-1 dim-1 norm-1,2017,1.2305522455125462,0.26420334610785934,0.7494421807978029,0.6710615149669045,1802,68,1734,channel-0,silhouette-1,dim-1,norm-1
channel-0 silhouette-1 dim-1 norm-2,2017,1.151879782336838,0.24611559770636504,0.6074925960040136,0.5364700860238515,1944,188,1756,channel-0,silhouette-1,dim-1,norm-2
channel-0 silhouette-1 dim-2 max,2017,0.6063219228485862,0.12068526411121416,0.2128661375204991,0.16229964358690788,3332,2337,995,channel-0,silhouette-1,dim-2,max
channel-0 silhouette-1 dim-2 mean,2017,1.2733281402415237,0.2740380403614067,0.4169847163593173,0.3558374495597208,1743,683,1060,channel-0,silhouette-1,dim-2,mean
channel-0 silhouette-1 dim-2 std,2017,0.9139207551417605,0.1914059465777868,0.3104683606758236,0.2548425185912778,2444,1328,1116,channel-0,silhouette-1,dim-2,std
channel-0 silhouette-1 dim-2 sum,2017,1.2733281402415235,0.27403804036140667,0.4169847163593173,0.3558374495597208,1744,684,1060,channel-0,silhouette-1,dim-2,sum
channel-0 silhouette-1 dim-2 norm-1,2017,1.2733281402415235,0.27403804036140667,0.4169847163593173,0.3558374495597208,1745,685,1060,channel-0,silhouette-1,dim-2,norm-1
channel-0 silhouette-1 dim-2 norm-2,2017,0.9227575326516997,0.19343762833564382,0.3038112319695887,0.24853047148996657,2434,1372,1062,channel-0,silhouette-1,dim-2,norm-2
channel-0 silhouette-2 dim-1 max,2017,0.7527204078816672,0.15434404199546803,0.2810119752454971,0.22691304622033484,2879,1560,1319,channel-0,silhouette-2,dim-1,max
channel-0 silhouette-2 dim-1 mean,2017,1.1910866846181547,0.2551297375392894,0.6743403386526896,0.5998526821601694,1865,122,1743,channel-0,silhouette-2,dim-1,mean
channel-0 silhouette-2 dim-1 std,2017,1.173526537015424,0.25109244775694317,0.4740117630948816,0.40990841933178374,1916,496,1420,channel-0,silhouette-2,dim-1,std
channel-0 silhouette-2 dim-1 sum,2017,1.1910866846181536,0.25512973753928914,0.6743403386526896,0.5998526821601694,1868,121,1747,channel-0,silhouette-2,dim-1,sum
channel-0 silhouette-2 dim-1 norm-1,2017,1.1910866846181536,0.25512973753928914,0.6743403386526896,0.5998526821601694,1867,120,1747,channel-0,silhouette-2,dim-1,norm-1
channel-0 silhouette-2 dim-1 norm-2,2017,1.0595601678582647,0.2248902045788877,0.5050142528658703,0.4393038515560584,2124,423,1701,channel-0,silhouette-2,dim-1,norm-2
channel-0 silhouette-2 dim-2 max,2017,0.5679651423352343,0.1118665775287522,0.1741168735166903,0.12555900203913198,3486,2963,523,channel-0,silhouette-2,dim-2,max
channel-0 silhouette-2 dim-2 mean,2017,1.1890992921802652,0.2546728120415928,0.3425665582201066,0.2852768610393895,1871,1131,740,channel-0,silhouette-2,dim-2,mean
channel-0 silhouette-2 dim-2 std,2017,0.9833774469827666,0.20737487796886797,0.2509495962005246,0.19840899276383206,2296,1835,461,channel-0,silhouette-2,dim-2,std
channel-0 silhouette-2 dim-2 sum,2017,1.1890992921802641,0.2546728120415926,0.3425665582201066,0.2852768610393895,1874,1133,741,channel-0,silhouette-2,dim-2,sum
channel-0 silhouette-2 dim-2 norm-1,2017,1.1890992921802641,0.2546728120415926,0.3425665582201066,0.2852768610393895,1873,1130,743,channel-0,silhouette-2,dim-2,norm-1
channel-0 silhouette-2 dim-2 norm-2,2017,0.9594680628127005,0.20187782210146807,0.2543071992181731,0.20159254971910812,2343,1788,555,channel-0,silhouette-2,dim-2,norm-2
channel-0 entropy dim-1,2017,0.389772035947988,0.0708978326196894,0.2860884137285595,0.2317263403935402,4110,1516,2594,channel-0,entropy,dim-1,
channel-0 entropy dim-2,2017,0.18407192828145863,0.023604896267579487,0.0748282813587296,0.031417173334969246,4598,4449,149,channel-0,entropy,dim-2,
channel-0 amplitude-bottleneck dim-1,2017,0.860866343414046,0.179208097264528,0.552040800746076,0.48389271235935327,2572,296,2276,channel-0,amplitude-bottleneck,dim-1,
channel-0 amplitude-bottleneck dim-2,2016,0.7850448558061969,0.16177582254071768,0.3516734986264793,0.29391173041483376,2785,1078,1707,channel-0,amplitude-bottleneck,dim-2,
channel-0 amplitude-bottleneck norm-1,2017,0.9563971124347557,0.20117177356113344,0.6133034437886318,0.5419797203622575,2348,178,2170,channel-0,amplitude-bottleneck,norm-1,
channel-0 amplitude-bottleneck norm-2,2017,0.9545525370273239,0.20074768342170696,0.5796710617516327,0.5100907200267213,2359,246,2113,channel-0,amplitude-bottleneck,norm-2,
channel-0 amplitude-wasserstein-1 dim-1,2017,0.9846409847338689,0.20766538054137143,0.7120852014736399,0.6356409870693465,2288,90,2198,channel-0,amplitude-wasserstein-1,dim-1,
channel-0 amplitude-wasserstein-1 dim-2,2016,0.7215715149165631,0.14718253571747666,0.2821840122791081,0.2280243290702075,2972,1551,1421,channel-0,amplitude-wasserstein-1,dim-2,
channel-0 amplitude-wasserstein-1 norm-1,2017,1.1835905661993797,0.25340628948042054,0.6918983246431102,0.6165005253169196,1890,102,1788,channel-0,amplitude-wasserstein-1,norm-1,
channel-0 amplitude-wasserstein-1 norm-2,2017,1.0288060020834784,0.21781945084400345,0.716450919378619,0.6397804018626128,2182,88,2094,channel-0,amplitude-wasserstein-1,norm-2,
channel-0 amplitude-wasserstein-2 dim-1,2017,1.27562168951043,0.2745653550080799,0.8257285558392504,0.7433934787456623,1739,35,1704,channel-0,amplitude-wasserstein-2,dim-1,
channel-0 amplitude-wasserstein-2 dim-2,2017,0.8138909674127703,0.1684078916032538,0.3908545013023916,0.3310617308550136,2701,838,1863,channel-0,amplitude-wasserstein-2,dim-2,
channel-0 amplitude-wasserstein-2 norm-1,2017,1.1373376747571973,0.24277219173545317,0.7749956704726744,0.6952904036587506,1979,54,1925,channel-0,amplitude-wasserstein-2,norm-1,
channel-0 amplitude-wasserstein-2 norm-2,2017,1.1991231479232107,0.25697741740632296,0.835947245411989,0.7530824682099029,1852,26,1826,channel-0,amplitude-wasserstein-2,norm-2,
channel-0 amplitude-landscape-1-1 dim-1,2017,1.3102399770782738,0.28252451696058223,0.7465008126966648,0.6682726168073586,1674,73,1601,channel-0,amplitude-landscape-1-1,dim-1,
channel-0 amplitude-landscape-1-1 dim-2,2017,1.3111495757078415,0.28273364465906575,0.4894538550726448,0.4245500488101402,1667,468,1199,channel-0,amplitude-landscape-1-1,dim-2,
channel-0 amplitude-landscape-1-1 norm-1,2017,1.2029958409697727,0.25786779625852674,0.8154361062535102,0.7336345527221624,1846,40,1806,channel-0,amplitude-landscape-1-1,norm-1,
channel-0 amplitude-landscape-1-1 norm-2,2017,1.5883933311260887,0.3464753287435052,0.7584001206055853,0.6795551073988003,1371,62,1309,channel-0,amplitude-landscape-1-1,norm-2,
channel-0 amplitude-landscape-1-2 dim-1,2017,1.3059997512553472,0.281549637889117,0.7700067835331311,0.6905601226719912,1691,57,1634,channel-0,amplitude-landscape-1-2,dim-1,
channel-0 amplitude-landscape-1-2 dim-2,2017,1.1419397954878276,0.24383027481215852,0.4597946769771008,0.3964282958162532,1973,529,1444,channel-0,amplitude-landscape-1-2,dim-2,
channel-0 amplitude-landscape-1-2 norm-1,2017,1.4628416589342386,0.317609484630793,0.8312107302073168,0.7485914769151174,1478,30,1448,channel-0,amplitude-landscape-1-2,norm-1,
channel-0 amplitude-landscape-1-2 norm-2,2017,1.3172110380672244,0.2841272479819562,0.7782338350800805,0.6983607134613241,1659,52,1607,channel-0,amplitude-landscape-1-2,norm-2,
channel-0 amplitude-landscape-2-1 dim-1,2017,1.1503190001898644,0.24575675506124595,0.7458319150897526,0.6676383924462118,1946,76,1870,channel-0,amplitude-landscape-2-1,dim-1,
channel-0 amplitude-landscape-2-1 dim-2,2017,0.9660677564147276,0.20339517128035178,0.4456485533728507,0.3830154563728202,2325,568,1757,channel-0,amplitude-landscape-2-1,dim-2,
channel-0 amplitude-landscape-2-1 norm-1,2017,1.1778263978640247,0.2520810376402575,0.8092242993728201,0.7277447435648837,1908,43,1865,channel-0,amplitude-landscape-2-1,norm-1,
channel-0 amplitude-landscape-2-1 norm-2,2017,1.2691287860709055,0.27307255817588943,0.788713791433444,0.7082974265761183,1752,49,1703,channel-0,amplitude-landscape-2-1,norm-2,
channel-0 amplitude-landscape-2-2 dim-1,2017,1.695114678222411,0.37101185394464903,0.7661189824553534,0.6868738512167798,1251,58,1193,channel-0,amplitude-landscape-2-2,dim-1,
channel-0 amplitude-landscape-2-2 dim-2,2017,0.9245363598768397,0.19384660217476463,0.4228843930993431,0.3614313082800241,2431,657,1774,channel-0,amplitude-landscape-2-2,dim-2,
channel-0 amplitude-landscape-2-2 norm-1,2017,1.2495664538706779,0.26857494199989784,0.8268052224622207,0.7444143348439127,1775,33,1742,channel-0,amplitude-landscape-2-2,norm-1,
channel-0 amplitude-landscape-2-2 norm-2,2017,1.17915548378593,0.2523866105280124,0.7858414229482307,0.705573951340615,1907,51,1856,channel-0,amplitude-landscape-2-2,norm-2,
