Source,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
channel-18,2796.8813559322034,0.9224016318813587,0.199786179327563,0.21385142529348897,0.08126644456692118,3130.076271186441,3561.7118644067796,-431.635593220339
channel-22,2795.9661016949153,0.8713918548165521,0.18629641444283543,0.24926287359666083,0.09973823234231463,3324.35593220339,3275.991525423729,48.36440677966102
channel-33,2809.830508474576,1.2600321525057354,0.2890740884933796,0.25201303359497995,0.10117280715558984,2153.491525423729,3259.771186440678,-1106.2796610169491
channel-34,2815.1101694915255,1.1305584672306606,0.2548341903087434,0.2526321262001945,0.10149574642423911,2389.4830508474574,3243.9576271186443,-854.4745762711865
channel-28,2791.9406779661017,1.3037297837153987,0.3006301235313094,0.25429111075971583,0.10236112788064762,2011.6016949152543,3222.5677966101694,-1210.9661016949153
channel-17,2799.915254237288,1.1120792965916055,0.24994729055090062,0.2555002389222797,0.10299184929652742,2844.601694915254,3239.008474576271,-394.40677966101697
channel-23,2820.1949152542375,1.7678235419644333,0.42336180446563804,0.26348489581189216,0.10715691157417066,1652.822033898305,3157.2796610169494,-1504.457627118644
channel-36,2805.85593220339,1.0272391953178686,0.2275109443279958,0.2700575365041024,0.11058541929718148,2744.008474576271,3093.9830508474574,-349.97457627118644
channel-32,2788.6186440677966,1.0786252612367617,0.24110022049198113,0.27142792938662363,0.11130026174807822,2625.737288135593,3076.762711864407,-451.02542372881356
channel-10,2780.601694915254,0.8869075606520268,0.19039961260963462,0.2733414036149817,0.11229839346969857,3209.1101694915255,3081.923728813559,127.1864406779661
channel-29,2793.5169491525426,1.4432254685210333,0.3375203845507086,0.27686841803471735,0.11413820135567743,1902.084745762712,3042.923728813559,-1140.8389830508474
channel-37,2799.7457627118642,1.083615990091372,0.242420041175898,0.2795092369361892,0.11551574022061185,2625.271186440678,3051.6949152542375,-426.4237288135593
channel-20,2755.669491525424,0.9401286190864948,0.20447416079448938,0.2927100572010753,0.12240172659164228,3074.728813559322,2941.593220338983,133.135593220339
channel-35,2795.228813559322,1.3606926458304085,0.31569420852263147,0.30107387033003635,0.12676456935900177,2461.1525423728813,2852.271186440678,-391.1186440677966
channel-31,2796.084745762712,1.396102833116536,0.3250585917546373,0.30336623210703534,0.12796034141233958,1997.1440677966102,2822.076271186441,-824.9322033898305
channel-15,2775.4491525423728,1.022241967650748,0.22618940500389198,0.3399321395693403,0.1470343334353621,2827.076271186441,2578.5,248.57627118644066
channel-5,2782.2203389830506,1.1979850564809535,0.27266545498590444,0.3414139983652864,0.14780732020951115,2526.169491525424,2569.6186440677966,-43.44915254237288
channel-30,2789.322033898305,1.3311795680069802,0.30788934240143856,0.3419635429914513,0.148093980941959,2285.4745762711864,2542.9661016949153,-257.49152542372883
channel-4,2768.169491525424,0.8896453667758256,0.1911236377482486,0.36003976595293136,0.15752313931657552,3159.7457627118642,2497.4322033898306,662.3135593220339
channel-25,2764.7033898305085,1.2431341377900493,0.28460533252834835,0.3620657702445249,0.1585799704573397,2428.237288135593,2420.0423728813557,8.194915254237289
channel-26,2768.1525423728813,1.3131530478702806,0.30312214810406024,0.37046329311508314,0.16296039734572743,2227.6271186440677,2336.7033898305085,-109.07627118644068
channel-24,2759.076271186441,1.187799941272582,0.26997195547677627,0.38256364174546875,0.16927234115540024,2450.6949152542375,2250.7033898305085,199.9915254237288
channel-27,2821.491525423729,0.8841239658247032,0.18966347844250755,0.38636434244324697,0.17125491289564904,3196.228813559322,2247.1610169491523,949.0677966101695
channel-7,2808.5169491525426,1.0698572742497803,0.23878148691240753,0.38741487900930277,0.17180290766650216,2751.313559322034,2267.228813559322,484.08474576271186
channel-19,2741.7542372881358,0.933369349671723,0.20268664160808014,0.3879568958804447,0.1720856416718639,3020.4491525423728,2298.6271186440677,721.8220338983051
channel-13,2785.271186440678,1.7105137324079114,0.40820596766353245,0.4073235563856803,0.18218793513662354,1380.593220338983,2063.3474576271187,-682.7542372881356
channel-14,2768.584745762712,1.3277845881364807,0.3069915247108566,0.4196957717773409,0.18864169368017739,2070.9322033898306,1965.9406779661017,104.99152542372882
channel-12,2789.85593220339,0.9459348049881763,0.20600963276079876,0.4538732245056643,0.2064697883713675,2976.3050847457625,1954.584745762712,1021.7203389830509
channel-6,2810.2457627118642,1.711215776834964,0.408391626468658,0.5034454167511522,0.23232829059584834,1431.5169491525423,1773.584745762712,-342.06779661016947
channel-21,2748.8389830508477,1.3222154666341726,0.30551874549080293,0.5065521519492432,0.2339488668784722,1995.9830508474577,1625.406779661017,370.5762711864407
channel-3,2793.9830508474574,1.1597101291360983,0.26254347836549785,0.5124725996366943,0.2370371690648621,2358.4406779661017,1566.7627118644068,791.6779661016949
channel-8,2747.677966101695,1.1463262858840557,0.2590040608437407,0.5129332627480365,0.23727746624660437,2319.771186440678,1542.4322033898304,777.3389830508474
channel-11,2795.4322033898306,1.3687088527570264,0.31781413048523904,0.543204928038595,0.2530681724630698,1979.3728813559321,1764.8728813559321,214.5
overall,2719.68125,1.7514254827667604,0.4190252639851451,0.5506629985453678,0.2569585497906384,1340.85625,1353.03125,-12.175
channel-16,2762.008474576271,1.1512377197621406,0.26030291161460517,0.5712609103409504,0.2677031048296425,2413.6101694915255,1565.4661016949153,848.1440677966102
channel-1,2816.169491525424,1.253864542749066,0.28744303636365715,0.5819926690114021,0.2733011466527318,2294.228813559322,1413.957627118644,880.271186440678
channel-9,2780.177966101695,1.6731062842236755,0.3983133998073376,0.707091383046246,0.3385567915741876,1331.5084745762713,903.1186440677966,428.3898305084746
channel-2,2822.6610169491523,1.7076818568249446,0.4074570654335053,1.0093448197449097,0.49622222477763406,1221.084745762712,341.70338983050846,879.3813559322034
channel-0,2822.3813559322034,2.0172229400673007,0.4893165965935461,1.3480081180037131,0.6728802512778114,794.0084745762712,155.85593220338984,638.1525423728814
