,0,1,2,3,4,5,6,7
"Start-end time, sec","(11.5, 210.5)","(211.5, 622.5)","(623.5, 703.5)","(704.5, 977.5)","(978.5, 1269.5)","(1270.5, 1321.5)","(1322.5, 1436.5)","(1437.5, 1486.5)"
"Time length, sec",199.0,411.0,80.0,273.0,291.0,51.0,114.0,49.0
Number of epochs,193,405,80,262,280,50,112,45
