,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 88.5)","(89.5, 174.5)","(175.5, 219.5)","(220.5, 764.5)","(765.5, 924.5)","(925.5, 1058.5)","(1059.5, 1154.5)","(1155.5, 1319.5)"
"Time length, sec",83.0,85.0,44.0,544.0,159.0,133.0,95.0,164.0
Number of epochs,80,83,43,518,155,118,96,156
