,0,1,2,3,4
"Start-end time, sec","(5.5, 161.5)","(162.5, 520.5)","(522.5, 859.5)","(860.5, 1226.5)","(1227.5, 1281.5)"
"Time length, sec",156.0,358.0,337.0,366.0,54.0
Number of epochs,150,335,315,346,51
