,0,1,2,3,4,5,6
"Start-end time, sec","(9.5, 49.5)","(50.5, 279.5)","(280.5, 473.5)","(474.5, 574.5)","(575.5, 658.5)","(659.5, 915.5)","(916.5, 1055.5)"
"Time length, sec",40.0,229.0,193.0,100.0,83.0,256.0,139.0
Number of epochs,41,218,185,98,76,245,134
