,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,0,35,10,Mode,40,[   0  829 1180],2,829,351,590.0,199351.80136416308,28.432841386282227,0.22121939813863786,207.1938703275479,2.009798335612372,0.22121939813863786,207.1938703275479,2.009798335612372,0.42692763984431,0.17991246186780843,0.4559788907346343
1,20,50,20,Mode,40,[   0  848  949 1180],3,848,101,393.3333333333333,155783.5697539636,43.79879058018071,0.1888708641064727,172.56113442842792,1.762197906088242,0.3349756465032533,160.0035885906043,1.3636625585594317,0.4649144615240398,0.17988045321206966,0.4494882414274784
2,40,50,20,Mode,40,[   0  217  848  949 1180],4,631,101,295.0,138187.7326374536,37.76244793897208,0.13262219084640275,154.08474307047564,2.045665247290059,0.3078584568604016,163.5165747724096,1.567823692792637,0.621038095217638,0.35423417163261695,0.5450910398904704
3,20,50,20,Mode,40,[   0  217  684  848  949 1180],5,467,101,236.0,99958.4819124837,32.58315773441176,0.13734954592084858,160.5373843424791,2.8050549776414084,0.2835991905812921,152.08069048574382,1.5207370083395495,0.7331901998711936,0.5312021484985943,0.6504764565566282
4,60,50,20,Mode,40,[   0   87  217  684  848  949 1180],6,467,87,196.66666666666666,94288.82105555301,33.70598043127875,0.08838587472121374,146.84122065101275,2.597441212739937,0.2895159574636882,163.5314788478828,1.4280302766388633,0.7356859293091208,0.5278379689372185,0.6384953872628292
5,20,50,20,Mode,40,[   0  217  684  848  949 1039 1117 1180],7,467,63,168.57142857142858,66370.01657398607,29.769350240598424,0.11431037376317563,119.64869817694225,4.186554689836337,0.2245555851868445,103.31026773768701,1.6712118520839596,0.7853408242055727,0.5779736306143686,0.6778673922021108
6,20,40,10,Median,40,[   0   94  210  684  848  949 1039 1117 1180],8,474,63,147.5,67165.8425838877,31.276709624857514,0.08486056723284441,117.31561869126372,3.7660956162309382,0.24144117894050734,119.05996568639759,1.5728132199765095,0.7872026957689353,0.5728887829904364,0.6661332495298373
7,20,45,20,Median,40,[   0   87  217  684  848  949  999 1040 1117 1180],9,467,41,131.11111111111111,62639.73293453333,33.34817317904912,0.0710224710395676,108.1518421507199,2.8100621692649983,0.24497539250172465,108.32531608558223,1.4673660008194225,0.7748404315108006,0.5632753043118107,0.6543780183769016
8,20,35,10,Median,40,[   0   52   94  199  243  681  848  949 1039 1117 1180],10,438,42,118.0,38287.91103647453,26.265993798490523,0.013018585720969273,97.09136711823653,3.6524271643426887,0.18951660544591323,57.04439305900318,1.7330531119487835,0.7913566870190565,0.6039226675761715,0.6792355267201257
9,40,35,20,Mode,40,[   0   86  199  243  459  507  684  829  949 1039 1117 1180],11,216,44,107.27272727272727,34761.158213560215,25.531749409953342,-0.02763796305641038,89.77088276048987,4.000074731678225,0.19827382226218865,52.51650852573955,1.6802161224604493,0.8720764353467277,0.8079452732506175,0.8310745376169381
10,40,35,20,Median,40,[   0   52   94  199  243  459  507  682  848  949 1039 1117 1180],12,216,42,98.33333333333333,30971.098864725205,24.6701248970266,-0.03461353756891457,83.09291552607249,3.854968609934396,0.19012728638614182,46.272413204148705,1.7236842683946527,0.8421459924442702,0.7631867963060481,0.7915789989632076
