,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 76.5)","(78.5, 219.5)","(220.5, 296.5)","(297.5, 697.5)","(698.5, 767.5)","(768.5, 944.5)","(945.5, 1059.5)","(1060.5, 1154.5)","(1155.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",68.0,141.0,76.0,400.0,69.0,176.0,114.0,94.0,83.0,65.0
Number of epochs,64,131,67,356,63,165,103,89,79,63
