,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(20.5, 456.5)","(457.5, 1205.5)","(1206.5, 1941.5)","(1942.5, 2214.5)","(2215.5, 2830.5)","(2831.5, 3284.5)","(3285.5, 3865.5)","(3866.5, 4290.5)","(4291.5, 4549.5)"
"Time length, sec",436.0,748.0,735.0,272.0,615.0,453.0,580.0,424.0,258.0
Number of epochs,409,690,713,252,591,422,546,412,250
