Feature,IV,IVs
channel-0 betti dim-1 max,0.23618751253312745,"[0.34407994323404373, 0.03360927304482012, 0.11068774568946863, 0.06610862187742035, 0.77470446523927, 0.20512480904541944, 0.261715462411913, 0.05955946631055248, 0.27009782594523923]"
channel-0 betti dim-1 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-1 std,0.34679485237560614,"[0.48177638238239096, 0.13083309903436108, 0.08039255945091692, 0.12919781389094664, 1.1980117780229043, 0.435412884112525, 0.4238635611961364, 0.09698921271212416, 0.14467638057814936]"
channel-0 betti dim-1 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-1 kurtosis,0.13942081527023584,"[0.0542380989215784, 0.15740494536090457, 0.060435730569557415, 0.045419705611985904, 0.06753556187544112, 0.08794981271996734, 0.1889257119146896, 0.30123155183349104, 0.2916462186245072]"
channel-0 betti dim-1 skew,0.12288608080494662,"[0.16235778138970625, 0.17394585302616308, 0.19860880150829893, 0.043468691923587, 0.13451089630788518, 0.08256666884506599, 0.032306306527983136, 0.08968636547334109, 0.18852336224248883]"
channel-0 betti dim-1 norm-1,0.42910026949253527,"[0.3569838862604775, 0.35409053951894504, 0.0836497254149781, 0.14601607874492104, 1.3426706714388144, 0.6265801940144637, 0.4016027639140766, 0.18377212244046962, 0.3665364436856712]"
channel-0 betti dim-1 norm-2,0.34679485237560614,"[0.48177638238239096, 0.13083309903436108, 0.08039255945091692, 0.12919781389094664, 1.1980117780229043, 0.435412884112525, 0.4238635611961364, 0.09698921271212416, 0.14467638057814936]"
channel-0 betti dim-2 max,0.14997590769223385,"[0.30120266194876033, 0.04889970543183858, 0.07470934035113297, 0.10510944089327443, 0.3366007634190968, 0.09025105965000088, 0.05451760248724566, 0.18001116426237385, 0.158481430786381]"
channel-0 betti dim-2 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-2 std,0.21780327475337302,"[0.4136004573000639, 0.07368057459912154, 0.1435033629402345, 0.13797179589841532, 0.47332164272892735, 0.09640609995462622, 0.20811346191844396, 0.26956149267692525, 0.14407058476359894]"
channel-0 betti dim-2 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-2 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 betti dim-2 kurtosis,0.16931872268731385,"[0.21544691179862846, 0.0573550513450736, 0.06212556495540813, 0.18328570922364998, 0.29764546844624945, 0.11433776994357116, 0.05612269606042637, 0.3465089355272704, 0.19104039688554716]"
channel-0 betti dim-2 skew,0.09644373764787491,"[0.08576272450741067, 0.03757784105140098, 0.028249140993980792, 0.014372669593876113, 0.1151964438056688, 0.034334032104885816, 0.031052857048189865, 0.16304505310287798, 0.35840287662258324]"
channel-0 betti dim-2 norm-1,0.15305686517934058,"[0.2684546447176166, 0.0708877217716493, 0.1372322050023847, 0.1605577174652881, 0.3382212871947834, 0.15562295898001394, 0.0567173992536725, 0.1254216408172711, 0.06439621141138571]"
channel-0 betti dim-2 norm-2,0.21780327475337302,"[0.4136004573000639, 0.07368057459912154, 0.1435033629402345, 0.13797179589841532, 0.47332164272892735, 0.09640609995462622, 0.20811346191844396, 0.26956149267692525, 0.14407058476359894]"
channel-0 landscape dim-1 max,0.5046486591342144,"[0.30247018607465814, 0.31778296747507556, 0.3414669044656797, 0.16059221638980237, 1.2802982606964997, 0.489436995325219, 0.20650660736989415, 0.9570582606707416, 0.48622553374036004]"
channel-0 landscape dim-1 mean,0.49832618804645445,"[0.2750562810967909, 0.3845338370428967, 0.6048714205153475, 0.11478083591630855, 1.3091302850582685, 0.3925179005333457, 0.1954224019729422, 0.850601909453057, 0.35802082082913333]"
channel-0 landscape dim-1 std,0.5241047753300911,"[0.291150458935114, 0.37835811763795446, 0.5487618424603498, 0.11752975911904565, 1.325232622251534, 0.42349398438881025, 0.2088117186217034, 1.017061293254995, 0.4065431813013143]"
channel-0 landscape dim-1 sum,0.49832618804645445,"[0.2750562810967909, 0.3845338370428967, 0.6048714205153475, 0.11478083591630855, 1.3091302850582685, 0.3925179005333457, 0.1954224019729422, 0.850601909453057, 0.35802082082913333]"
channel-0 landscape dim-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 landscape dim-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 landscape dim-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 landscape dim-1 kurtosis,0.36824215780294733,"[0.20644250298640499, 0.44202273157245686, 0.19145027376858198, 0.11375933435975741, 1.0867664059357505, 0.21713023613605187, 0.14695535412569025, 0.676076852462862, 0.2335757288789696]"
channel-0 landscape dim-1 skew,0.3766673447613257,"[0.17985318125837632, 0.4881474611228531, 0.18240522811688104, 0.11704541755498747, 1.0562698349551192, 0.3223177861874843, 0.13116839179683912, 0.6429592601684554, 0.2698395416909349]"
channel-0 landscape dim-1 norm-1,0.49832618804645445,"[0.2750562810967909, 0.3845338370428967, 0.6048714205153475, 0.11478083591630855, 1.3091302850582685, 0.3925179005333457, 0.1954224019729422, 0.850601909453057, 0.35802082082913333]"
channel-0 landscape dim-1 norm-2,0.5162252495684602,"[0.28763638874087966, 0.35560395229989206, 0.5257736709963774, 0.11881586401944506, 1.369417983556093, 0.41810310733799483, 0.2088117186217034, 0.9801113598748341, 0.38175320066892215]"
channel-0 landscape dim-2 max,0.17906511484962195,"[0.1286033402145177, 0.08443033005716788, 0.03621535924275024, 0.05360551248953632, 0.5142867212315803, 0.14491351389212206, 0.24084733746770576, 0.24630658712020026, 0.16237733193101705]"
channel-0 landscape dim-2 mean,0.18925261930595638,"[0.16977775778368018, 0.0922893948242682, 0.0644818954698004, 0.04573083560672239, 0.6518000204796597, 0.14859261545913494, 0.10946340444529862, 0.23917295679545703, 0.18196469288958586]"
channel-0 landscape dim-2 std,0.17823274949275347,"[0.08156606741145034, 0.14663395338185564, 0.05143191641539163, 0.06097544988202411, 0.5603161325235456, 0.13443182962078776, 0.18878836798929421, 0.18576781595837683, 0.19418321225205526]"
channel-0 landscape dim-2 sum,0.18925261930595638,"[0.16977775778368018, 0.0922893948242682, 0.0644818954698004, 0.04573083560672239, 0.6518000204796597, 0.14859261545913494, 0.10946340444529862, 0.23917295679545703, 0.18196469288958586]"
channel-0 landscape dim-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 landscape dim-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 landscape dim-2 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 landscape dim-2 kurtosis,0.13276566593758282,"[0.057380973633778594, 0.06442344399103421, 0.06892375149462364, 0.12879993661719016, 0.34812140350388854, 0.11692812040921538, 0.1623486898341163, 0.1614180154752631, 0.08654665847913538]"
channel-0 landscape dim-2 skew,0.1532814982396594,"[0.06791393058581986, 0.061381278838431405, 0.055618566785856104, 0.14837469811065324, 0.4759370323017864, 0.09534489748783201, 0.17599001317082688, 0.21797959346766393, 0.08099347340806455]"
channel-0 landscape dim-2 norm-1,0.18925261930595638,"[0.16977775778368018, 0.0922893948242682, 0.0644818954698004, 0.04573083560672239, 0.6518000204796597, 0.14859261545913494, 0.10946340444529862, 0.23917295679545703, 0.18196469288958586]"
channel-0 landscape dim-2 norm-2,0.17149313064799904,"[0.08156606741145034, 0.12744695349496887, 0.043846254808398696, 0.060958255502313624, 0.5584022003595777, 0.13734952124137437, 0.15746760936548626, 0.18221810139636618, 0.19418321225205526]"
channel-0 silhouette-1 dim-1 max,0.5762893621632256,"[0.36736523708498825, 0.22271958674388834, 0.3137989749803718, 0.18974729102868781, 1.7265968947554329, 0.41851557027198105, 0.5628310412026853, 0.9106291621752571, 0.47440050122573774]"
channel-0 silhouette-1 dim-1 mean,0.5389175443794871,"[0.3411968812801219, 0.38399637000989717, 0.3516995551519119, 0.12386307416764256, 1.518184914530189, 0.5648435481307852, 0.30047080443730506, 0.8128849595920979, 0.4531177921154334]"
channel-0 silhouette-1 dim-1 std,0.5533886044566741,"[0.364585860945137, 0.3321650538263732, 0.3459365694347225, 0.14095074105712868, 1.509907147543518, 0.487235126014384, 0.4678355513607556, 0.8479370478530621, 0.48394434207498604]"
channel-0 silhouette-1 dim-1 sum,0.5389175443794871,"[0.3411968812801219, 0.38399637000989717, 0.3516995551519119, 0.12386307416764256, 1.518184914530189, 0.5648435481307852, 0.30047080443730506, 0.8128849595920979, 0.4531177921154334]"
channel-0 silhouette-1 dim-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 silhouette-1 dim-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 silhouette-1 dim-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
channel-0 silhouette-1 dim-1 kurtosis,0.3656908749316406,"[0.3367255668526845, 0.23460105198215642, 0.23492498847304005, 0.14144364161467196, 1.0415840529945208, 0.25633859125684527, 0.18784576799759556, 0.6070127011787521, 0.2507415120344983]"
channel-0 silhouette-1 dim-1 skew,0.3503208385670641,"[0.2940425876024481, 0.29526411868144264, 0.21645732281908864, 0.12942779525165105, 1.034540401452795, 0.24120406151912363, 0.09568450546689918, 0.5993400854544997, 0.2469266688556287]"
channel-0 silhouette-1 dim-1 norm-1,0.5389175443794871,"[0.3411968812801219, 0.38399637000989717, 0.3516995551519119, 0.12386307416764256, 1.518184914530189, 0.5648435481307852, 0.30047080443730506, 0.8128849595920979, 0.4531177921154334]"
channel-0 silhouette-1 dim-1 norm-2,0.5464360942869205,"[0.35604340109288146, 0.3929615153356002, 0.3197729732566035, 0.13024075611809333, 1.4889432823029023, 0.4874443001906007, 0.4464207748976484, 0.8151376258048563, 0.4809602195830977]"
channel-0 silhouette-1 dim-2 max,0.18364656935236623,"[0.1258374662609515, 0.16002938717841483, 0.09673266922022215, 0.0898518589428803, 0.401858783393668, 0.12272484192125481, 0.10081545253240418, 0.2979186421245776, 0.25705002259692267]"
channel-0 silhouette-1 dim-2 mean,0.1768952646569842,"[0.08743133691868032, 0.15853931087158452, 0.0411469370885703, 0.11073711317165513, 0.5175524506320681, 0.1280714704117931, 0.1795614459549458, 0.2565118050697011, 0.11250551179385948]"
channel-0 silhouette-1 dim-2 std,0.17620680121141036,"[0.09310948761754385, 0.13405913965440105, 0.09314983592994347, 0.10414138773178033, 0.43868491337034393, 0.11894197493377984, 0.11808068240581111, 0.2660819322728604, 0.21961185698622931]"
