,Feature,true,internal,external,internal-diff,external-diff,Source,Algorithm,Dimension,Stat
2706,channel-12 bd2 all norm-1,2.026871800007749,2.2492066075408883,2.276981666229266,-0.2223348075331395,-0.2501098662215173,channel-12,bd2,all,norm-1
2713,channel-12 bd2 dim-1 median,2.150148586460754,2.2406902880714914,2.4134065983594097,-0.0905417016107374,-0.2632580118986558,channel-12,bd2,dim-1,median
2492,channel-11 bd2 all median,2.1096745116996947,2.2007991835356795,2.337356845255483,-0.0911246718359848,-0.2276823335557884,channel-11,bd2,all,median
1443,channel-6 bd2 all percentile-75,2.1654001254162933,2.195794346587592,2.3719599206920443,-0.0303942211712988,-0.2065597952757509,channel-6,bd2,all,percentile-75
1457,channel-6 bd2 dim-1 norm-1,2.101948631278072,2.157995902145963,2.246015691319025,-0.0560472708678911,-0.1440670600409528,channel-6,bd2,dim-1,norm-1
1451,channel-6 bd2 dim-1 sum,2.101948631278072,2.157995902145963,2.246015691319025,-0.0560472708678911,-0.1440670600409528,channel-6,bd2,dim-1,sum
1454,channel-6 bd2 dim-1 percentile-75,2.14149363202979,2.1571677905742432,2.3366777832784904,-0.0156741585444533,-0.1951841512487004,channel-6,bd2,dim-1,percentile-75
2499,channel-11 bd2 dim-1 mean,2.0674852767600584,2.1487904812869143,2.2940098560087496,-0.0813052045268558,-0.2265245792486911,channel-11,bd2,dim-1,mean
2673,channel-12 life all norm-1,1.9861749310887251,2.130773116649126,2.1963540309801948,-0.1445981855604006,-0.2101790998914694,channel-12,life,all,norm-1
2618,channel-12 amplitude-wasserstein-1 norm-1,1.9861749310887251,2.130773116649126,2.1963540309801948,-0.1445981855604006,-0.2101790998914694,channel-12,amplitude-wasserstein-1,norm-1,
2667,channel-12 life all sum,1.9861749310887251,2.130773116649126,2.1963540309801948,-0.1445981855604006,-0.2101790998914694,channel-12,life,all,sum
2714,channel-12 bd2 dim-1 percentile-75,2.078082890555456,2.1264040466882475,2.324544929141799,-0.0483211561327916,-0.2464620385863432,channel-12,bd2,dim-1,percentile-75
2703,channel-12 bd2 all percentile-75,2.036870958667833,2.125476822862216,2.308341932424879,-0.0886058641943821,-0.2714709737570455,channel-12,bd2,all,percentile-75
1656,channel-7 bd2 all norm-1,1.9968092334072547,2.1084225453034127,2.178257784695628,-0.1116133118961579,-0.1814485512883732,channel-7,bd2,all,norm-1
1650,channel-7 bd2 all sum,1.9968092334072547,2.1084225453034127,2.178257784695628,-0.1116133118961579,-0.1814485512883732,channel-7,bd2,all,sum
2488,channel-11 bd2 all mean,2.007887502216447,2.0800499886587067,2.2029193661198563,-0.0721624864422598,-0.1950318639034094,channel-11,bd2,all,mean
2684,channel-12 life dim-1 norm-1,1.9265364055230103,2.078310010630104,2.124951382937967,-0.151773605107093,-0.1984149774149564,channel-12,life,dim-1,norm-1
2616,channel-12 amplitude-wasserstein-1 dim-1,1.9265364055230103,2.078310010630104,2.124951382937967,-0.151773605107093,-0.1984149774149564,channel-12,amplitude-wasserstein-1,dim-1,
2678,channel-12 life dim-1 sum,1.9265364055230103,2.078310010630104,2.124951382937967,-0.151773605107093,-0.1984149774149564,channel-12,life,dim-1,sum
2619,channel-12 amplitude-wasserstein-1 norm-2,1.9282763762555384,2.0632917755697475,2.130216126440968,-0.1350153993142093,-0.2019397501854301,channel-12,amplitude-wasserstein-1,norm-2,
1446,channel-6 bd2 all norm-1,1.9786681764802496,2.0584061351109844,2.1584214493558678,-0.0797379586307347,-0.1797532728756177,channel-6,bd2,all,norm-1
1440,channel-6 bd2 all sum,1.9786681764802496,2.0584061351109844,2.1584214493558678,-0.0797379586307347,-0.1797532728756177,channel-6,bd2,all,sum
2729,channel-12 bd2 dim-2 norm-2,1.8247772437157617,1.9833196402071245,2.0941888256485264,-0.1585423964913626,-0.2694115819327645,channel-12,bd2,dim-2,norm-2
2457,channel-11 life all sum,1.8608490827621107,1.9658680645110296,2.067818658305429,-0.1050189817489188,-0.2069695755433185,channel-11,life,all,sum
2463,channel-11 life all norm-1,1.8608490827621107,1.9658680645110296,2.067818658305429,-0.1050189817489188,-0.2069695755433185,channel-11,life,all,norm-1
2408,channel-11 amplitude-wasserstein-1 norm-1,1.8608490827621107,1.9658680645110296,2.067818658305429,-0.1050189817489188,-0.2069695755433185,channel-11,amplitude-wasserstein-1,norm-1,
2519,channel-11 bd2 dim-2 norm-2,1.8047587795487685,1.9530947911615908,2.041130133925218,-0.1483360116128222,-0.2363713543764494,channel-11,bd2,dim-2,norm-2
2409,channel-11 amplitude-wasserstein-1 norm-2,1.8268559485661693,1.9476502021703408,2.0243835219817687,-0.1207942536041719,-0.1975275734155994,channel-11,amplitude-wasserstein-1,norm-2,
2626,channel-12 amplitude-betti-1 norm-1,1.7833087684656346,1.928862746818376,2.008975905547711,-0.1455539783527413,-0.2256671370820764,channel-12,amplitude-betti-1,norm-1,
1651,channel-7 bd2 all percentile-25,1.920435542099244,1.917506180902821,2.051469175174296,0.0029293611964225,-0.1310336330750521,channel-7,bd2,all,percentile-25
2468,channel-11 life dim-1 sum,1.8121682504837924,1.9132304248688368,1.996663622821481,-0.1010621743850448,-0.1844953723376883,channel-11,life,dim-1,sum
2406,channel-11 amplitude-wasserstein-1 dim-1,1.8121682504837924,1.9132304248688368,1.996663622821481,-0.1010621743850448,-0.1844953723376883,channel-11,amplitude-wasserstein-1,dim-1,
2474,channel-11 life dim-1 norm-1,1.8121682504837924,1.9132304248688368,1.996663622821481,-0.1010621743850448,-0.1844953723376883,channel-11,life,dim-1,norm-1
2504,channel-11 bd2 dim-1 percentile-75,1.85453353206892,1.9110551570334249,2.0417902806049866,-0.056521624964505,-0.187256748536067,channel-11,bd2,dim-1,percentile-75
1662,channel-7 bd2 dim-1 percentile-25,1.9202365470990173,1.9057407553445715,2.035053871928588,0.0144957917544459,-0.11481732482957,channel-7,bd2,dim-1,percentile-25
2493,channel-11 bd2 all percentile-75,1.853366783609488,1.9056149876855528,2.026801863616882,-0.052248204076065,-0.173435080007394,channel-11,bd2,all,percentile-75
1407,channel-6 life all sum,1.934744855877684,1.9000808647212333,2.036706427528928,0.0346639911564505,-0.101961571651244,channel-6,life,all,sum
1413,channel-6 life all norm-1,1.934744855877684,1.9000808647212333,2.036706427528928,0.0346639911564505,-0.101961571651244,channel-6,life,all,norm-1
1358,channel-6 amplitude-wasserstein-1 norm-1,1.934744855877684,1.9000808647212333,2.036706427528928,0.0346639911564505,-0.101961571651244,channel-6,amplitude-wasserstein-1,norm-1,
1359,channel-6 amplitude-wasserstein-1 norm-2,1.923722854335292,1.895230487457509,2.0286870374413466,0.0284923668777825,-0.104964183106055,channel-6,amplitude-wasserstein-1,norm-2,
2627,channel-12 amplitude-betti-1 norm-2,1.7622040770395109,1.8934748523205436,1.985158219053255,-0.1312707752810327,-0.2229541420137444,channel-12,amplitude-betti-1,norm-2,
2416,channel-11 amplitude-betti-1 norm-1,1.8089170918667667,1.8879519400542668,1.971210565076721,-0.0790348481875,-0.1622934732099548,channel-11,amplitude-betti-1,norm-1,
1418,channel-6 life dim-1 sum,1.913891692838809,1.887239775608253,2.0232301123535845,0.0266519172305559,-0.1093384195147755,channel-6,life,dim-1,sum
1356,channel-6 amplitude-wasserstein-1 dim-1,1.913891692838809,1.887239775608253,2.0232301123535845,0.0266519172305559,-0.1093384195147755,channel-6,amplitude-wasserstein-1,dim-1,
1424,channel-6 life dim-1 norm-1,1.913891692838809,1.887239775608253,2.0232301123535845,0.0266519172305559,-0.1093384195147755,channel-6,life,dim-1,norm-1
2624,channel-12 amplitude-betti-1 dim-1,1.7532303801112274,1.877365684398463,1.9806739845654573,-0.1241353042872355,-0.2274436044542298,channel-12,amplitude-betti-1,dim-1,
2720,channel-12 bd2 dim-2 mean,1.710125325131693,1.8739717403450185,2.019405699667516,-0.1638464152133254,-0.3092803745358228,channel-12,bd2,dim-2,mean
1366,channel-6 amplitude-betti-1 norm-1,1.8543337674201936,1.85635131728416,1.968187582299996,-0.002017549863966,-0.1138538148798022,channel-6,amplitude-betti-1,norm-1,
2723,channel-12 bd2 dim-2 percentile-25,1.7240334957419066,1.85542320396683,1.9926821794637644,-0.1313897082249235,-0.2686486837218578,channel-12,bd2,dim-2,percentile-25
2512,channel-11 bd2 dim-2 sum,1.6741345351662156,1.851713366518969,1.8764502425280567,-0.1775788313527535,-0.2023157073618411,channel-11,bd2,dim-2,sum
2518,channel-11 bd2 dim-2 norm-1,1.6741345351662156,1.851713366518969,1.8764502425280567,-0.1775788313527535,-0.2023157073618411,channel-11,bd2,dim-2,norm-1
1652,channel-7 bd2 all median,1.8324658750285157,1.8497411268540385,1.971833794511181,-0.0172752518255228,-0.1393679194826655,channel-7,bd2,all,median
2722,channel-12 bd2 dim-2 sum,1.6547765705320203,1.8373582318838555,1.876199981798575,-0.1825816613518349,-0.2214234112665547,channel-12,bd2,dim-2,sum
2728,channel-12 bd2 dim-2 norm-1,1.6547765705320203,1.8373582318838555,1.876199981798575,-0.1825816613518349,-0.2214234112665547,channel-12,bd2,dim-2,norm-1
1663,channel-7 bd2 dim-1 median,1.8199620894009527,1.8346484730994728,1.954877909874798,-0.0146863836985196,-0.1349158204738449,channel-7,bd2,dim-1,median
1568,channel-7 amplitude-wasserstein-1 norm-1,1.7940501607730464,1.8293068692073349,1.8454561582496671,-0.0352567084342883,-0.0514059974766207,channel-7,amplitude-wasserstein-1,norm-1,
1623,channel-7 life all norm-1,1.7940501607730464,1.8293068692073349,1.8454561582496671,-0.0352567084342883,-0.0514059974766207,channel-7,life,all,norm-1
1617,channel-7 life all sum,1.7940501607730464,1.8293068692073349,1.8454561582496671,-0.0352567084342883,-0.0514059974766207,channel-7,life,all,sum
2417,channel-11 amplitude-betti-1 norm-2,1.7417563827620652,1.8180343892231687,1.894094691729356,-0.0762780064611039,-0.1523383089672905,channel-11,amplitude-betti-1,norm-2,
2608,channel-12 entropy dim-1,1.6240305709107827,1.8108042485385656,1.8135647368318548,-0.186773677627783,-0.189534165921072,channel-12,entropy,dim-1,
1648,channel-7 bd2 all mean,1.8162755237175103,1.8102533517577517,1.9306087847010416,0.006022171959759,-0.1143332609835312,channel-7,bd2,all,mean
2724,channel-12 bd2 dim-2 median,1.684623677907548,1.804959278127522,1.983289069753508,-0.1203356002199742,-0.2986653918459601,channel-12,bd2,dim-2,median
1659,channel-7 bd2 dim-1 mean,1.834617835505009,1.8002437795190604,1.9448707997527528,0.0343740559859482,-0.1102529642477445,channel-7,bd2,dim-1,mean
2680,channel-12 life dim-1 median,1.6971867017808324,1.7977138754780622,1.917845401783305,-0.1005271736972297,-0.2206587000024729,channel-12,life,dim-1,median
2414,channel-11 amplitude-betti-1 dim-1,1.7207646992862806,1.7925922892754196,1.8558439370102493,-0.0718275899891389,-0.1350792377239689,channel-11,amplitude-betti-1,dim-1,
1367,channel-6 amplitude-betti-1 norm-2,1.7824932959458026,1.7859161707231723,1.906010826571202,-0.0034228747773696,-0.1235175306253992,channel-6,amplitude-betti-1,norm-2,
1364,channel-6 amplitude-betti-1 dim-1,1.7803999369598666,1.7787036016165083,1.9059476387641383,0.0016963353433581,-0.1255477018042718,channel-6,amplitude-betti-1,dim-1,
1469,channel-6 bd2 dim-2 norm-2,1.7001486912896224,1.7701681825758866,1.8748527069932464,-0.0700194912862641,-0.1747040157036241,channel-6,bd2,dim-2,norm-2
3557,channel-16 bd2 dim-1 norm-1,1.6171707614009656,1.7635276860625917,1.8726586651790764,-0.1463569246616261,-0.2554879037781108,channel-16,bd2,dim-1,norm-1
3551,channel-16 bd2 dim-1 sum,1.6171707614009656,1.7635276860625917,1.8726586651790764,-0.1463569246616261,-0.2554879037781108,channel-16,bd2,dim-1,sum
2725,channel-12 bd2 dim-2 percentile-75,1.6277826523095733,1.7515059986170016,1.8697722389458853,-0.1237233463074283,-0.2419895866363122,channel-12,bd2,dim-2,percentile-75
1569,channel-7 amplitude-wasserstein-1 norm-2,1.7371967045786691,1.7482438018950488,1.7632206556022387,-0.0110470973163796,-0.0260239510235695,channel-7,amplitude-wasserstein-1,norm-2,
1679,channel-7 bd2 dim-2 norm-2,1.6860335050386686,1.7474636566743194,1.826792435731496,-0.0614301516356508,-0.1407589306928272,channel-7,bd2,dim-2,norm-2
1576,channel-7 amplitude-betti-1 norm-1,1.683673238800958,1.737224265708921,1.7242685497025674,-0.0535510269079628,-0.0405953109016092,channel-7,amplitude-betti-1,norm-1,
1634,channel-7 life dim-1 norm-1,1.730042915223484,1.7318838288706468,1.7453654142910822,-0.0018409136471628,-0.0153224990675981,channel-7,life,dim-1,norm-1
1566,channel-7 amplitude-wasserstein-1 dim-1,1.730042915223484,1.7318838288706468,1.7453654142910822,-0.0018409136471628,-0.0153224990675981,channel-7,amplitude-wasserstein-1,dim-1,
1628,channel-7 life dim-1 sum,1.730042915223484,1.7318838288706468,1.7453654142910822,-0.0018409136471628,-0.0153224990675981,channel-7,life,dim-1,sum
1421,channel-6 life dim-1 percentile-75,1.697346972407235,1.7127179491978517,1.8450309825010232,-0.0153709767906164,-0.1476840100937881,channel-6,life,dim-1,percentile-75
1460,channel-6 bd2 dim-2 mean,1.6532097892399562,1.7031857662442098,1.8667393169370707,-0.0499759770042536,-0.2135295276971145,channel-6,bd2,dim-2,mean
2696,channel-12 life dim-2 norm-2,1.5496394077225153,1.6992800219670154,1.752224045542719,-0.1496406142445001,-0.2025846378202036,channel-12,life,dim-2,norm-2
2621,channel-12 amplitude-wasserstein-2 dim-2,1.5496394077225153,1.6992800219670154,1.752224045542719,-0.1496406142445001,-0.2025846378202036,channel-12,amplitude-wasserstein-2,dim-2,
3546,channel-16 bd2 all norm-1,1.548415914660022,1.6981245024198093,1.7724361519796792,-0.1497085877597872,-0.2240202373196571,channel-16,bd2,all,norm-1
3540,channel-16 bd2 all sum,1.548415914660022,1.6981245024198093,1.7724361519796792,-0.1497085877597872,-0.2240202373196571,channel-16,bd2,all,sum
1420,channel-6 life dim-1 median,1.6769262194118018,1.694772581499748,1.8011273352919694,-0.0178463620879463,-0.1242011158801676,channel-6,life,dim-1,median
2695,channel-12 life dim-2 norm-1,1.5073372761019483,1.6919210651276604,1.6964843070952815,-0.184583789025712,-0.1891470309933332,channel-12,life,dim-2,norm-1
2617,channel-12 amplitude-wasserstein-1 dim-2,1.5073372761019483,1.6919210651276604,1.6964843070952815,-0.184583789025712,-0.1891470309933332,channel-12,amplitude-wasserstein-1,dim-2,
2689,channel-12 life dim-2 sum,1.5073372761019483,1.6919210651276604,1.6964843070952815,-0.184583789025712,-0.1891470309933332,channel-12,life,dim-2,sum
2669,channel-12 life all median,1.604309428239038,1.6863601651069549,1.7839354860347814,-0.0820507368679168,-0.1796260577957433,channel-12,life,all,median
2554,channel-12 landscape dim-2 mean,1.5315259991443833,1.6738876945228365,1.7223815565878366,-0.142361695378453,-0.1908555574434534,channel-12,landscape,dim-2,mean
2556,channel-12 landscape dim-2 sum,1.5315259991443833,1.6738876945228365,1.7223815565878366,-0.142361695378453,-0.1908555574434534,channel-12,landscape,dim-2,sum
2562,channel-12 landscape dim-2 norm-1,1.5315259991443833,1.6738876945228365,1.7223815565878366,-0.142361695378453,-0.1908555574434534,channel-12,landscape,dim-2,norm-1
2633,channel-12 amplitude-landscape-1-1 dim-2,1.5315259991443833,1.6738876945228365,1.7223815565878366,-0.142361695378453,-0.1908555574434534,channel-12,amplitude-landscape-1-1,dim-2,
2485,channel-11 life dim-2 norm-1,1.5132125636276346,1.66828349532597,1.685290357133771,-0.1550709316983354,-0.1720777935061364,channel-11,life,dim-2,norm-1
2407,channel-11 amplitude-wasserstein-1 dim-2,1.5132125636276346,1.66828349532597,1.685290357133771,-0.1550709316983354,-0.1720777935061364,channel-11,amplitude-wasserstein-1,dim-2,
2479,channel-11 life dim-2 sum,1.5132125636276346,1.66828349532597,1.685290357133771,-0.1550709316983354,-0.1720777935061364,channel-11,life,dim-2,sum
1468,channel-6 bd2 dim-2 norm-1,1.6066335611425824,1.6673950916831142,1.7459543404811262,-0.0607615305405317,-0.1393207793385438,channel-6,bd2,dim-2,norm-1
1462,channel-6 bd2 dim-2 sum,1.6066335611425824,1.6673950916831142,1.7459543404811262,-0.0607615305405317,-0.1393207793385438,channel-6,bd2,dim-2,sum
1653,channel-7 bd2 all percentile-75,1.6262223506569216,1.6643923726023675,1.754072541808973,-0.0381700219454461,-0.1278501911520517,channel-7,bd2,all,percentile-75
1577,channel-7 amplitude-betti-1 norm-2,1.6289800051086445,1.6604753348573598,1.6398124759442918,-0.0314953297487152,-0.0108324708356473,channel-7,amplitude-betti-1,norm-2,
1574,channel-7 amplitude-betti-1 dim-1,1.633031268697394,1.6581293299491882,1.6336493073600995,-0.0250980612517941,-0.0006180386627054,channel-7,amplitude-betti-1,dim-1,
1464,channel-6 bd2 dim-2 median,1.5873379009122008,1.6570546237509274,1.7849648139694518,-0.0697167228387265,-0.197626913057251,channel-6,bd2,dim-2,median
1463,channel-6 bd2 dim-2 percentile-25,1.6050320191885097,1.638418431158262,1.7841703549059582,-0.0333864119697524,-0.1791383357174487,channel-6,bd2,dim-2,percentile-25
3558,channel-16 bd2 dim-1 norm-2,1.5670446897478412,1.6373661989615511,1.7496763793862162,-0.0703215092137099,-0.182631689638375,channel-16,bd2,dim-1,norm-2
3547,channel-16 bd2 all norm-2,1.565334688488912,1.6335856803798787,1.7637199337238612,-0.0682509918909668,-0.1983852452349492,channel-16,bd2,all,norm-2
2415,channel-11 amplitude-betti-1 dim-2,1.450328666761152,1.622871026930705,1.6726920787921662,-0.1725423601695528,-0.222363412031014,channel-11,amplitude-betti-1,dim-2,
2625,channel-12 amplitude-betti-1 dim-2,1.449658063874428,1.6213601791665102,1.641991859318682,-0.1717021152920823,-0.1923337954442541,channel-12,amplitude-betti-1,dim-2,
2637,channel-12 amplitude-landscape-1-2 dim-2,1.5034170307736845,1.6113691696580543,1.6906666134545123,-0.1079521388843702,-0.187249582680828,channel-12,amplitude-landscape-1-2,dim-2,
1448,channel-6 bd2 dim-1 max,1.578356948652582,1.6095936614127249,1.7806931294387214,-0.0312367127601429,-0.2023361807861394,channel-6,bd2,dim-1,max
1410,channel-6 life all percentile-75,1.618450342648049,1.6069180571885429,1.7346146063770038,0.0115322854595061,-0.1161642637289548,channel-6,life,all,percentile-75
1664,channel-7 bd2 dim-1 percentile-75,1.6268012542388055,1.604532356587288,1.727757369554555,0.0222688976515175,-0.1009561153157494,channel-7,bd2,dim-1,percentile-75
1435,channel-6 life dim-2 norm-1,1.5278056847247443,1.594596998512101,1.6315941965174765,-0.0667913137873563,-0.1037885117927319,channel-6,life,dim-2,norm-1
1429,channel-6 life dim-2 sum,1.5278056847247443,1.594596998512101,1.6315941965174765,-0.0667913137873563,-0.1037885117927319,channel-6,life,dim-2,sum
1357,channel-6 amplitude-wasserstein-1 dim-2,1.5278056847247443,1.594596998512101,1.6315941965174765,-0.0667913137873563,-0.1037885117927319,channel-6,amplitude-wasserstein-1,dim-2,
1365,channel-6 amplitude-betti-1 dim-2,1.5182265525261238,1.5815934402079252,1.6119887066989125,-0.0633668876818014,-0.0937621541727884,channel-6,amplitude-betti-1,dim-2,
2645,channel-12 amplitude-landscape-2-2 dim-2,1.4581320881414443,1.5778852988363232,1.629770854843866,-0.1197532106948788,-0.1716387667024215,channel-12,amplitude-landscape-2-2,dim-2,
1558,channel-7 entropy dim-1,1.4718073671067438,1.5730098422947745,1.6012353695266417,-0.1012024751880305,-0.1294280024198977,channel-7,entropy,dim-1,
1672,channel-7 bd2 dim-2 sum,1.503774825286928,1.5726788686716509,1.6346460394686209,-0.0689040433847227,-0.1308712141816927,channel-7,bd2,dim-2,sum
1678,channel-7 bd2 dim-2 norm-1,1.503774825286928,1.5726788686716509,1.6346460394686209,-0.0689040433847227,-0.1308712141816927,channel-7,bd2,dim-2,norm-1
2555,channel-12 landscape dim-2 std,1.4418582581634665,1.568558275936606,1.6190146384159965,-0.1267000177731396,-0.17715638025253,channel-12,landscape,dim-2,std
2470,channel-11 life dim-1 median,1.5341756024073188,1.564618756744243,1.701630216661363,-0.0304431543369243,-0.1674546142540443,channel-11,life,dim-1,median
2630,channel-12 amplitude-betti-2 norm-1,1.4290193373144264,1.5636120504506548,1.564814444559252,-0.1345927131362283,-0.1357951072448255,channel-12,amplitude-betti-2,norm-1,
2563,channel-12 landscape dim-2 norm-2,1.4330270738953588,1.5612332650591625,1.6113594003053322,-0.1282061911638035,-0.1783323264099734,channel-12,landscape,dim-2,norm-2
2641,channel-12 amplitude-landscape-2-1 dim-2,1.4330270738953588,1.5612332650591625,1.6113594003053322,-0.1282061911638035,-0.1783323264099734,channel-12,amplitude-landscape-2-1,dim-2,
2681,channel-12 life dim-1 percentile-75,1.4423095430586004,1.5467050167380525,1.650752398764786,-0.1043954736794519,-0.2084428557061854,channel-12,life,dim-1,percentile-75
2708,channel-12 bd2 dim-1 max,1.4810199038186755,1.5432645357138313,1.672128710436005,-0.0622446318951557,-0.1911088066173294,channel-12,bd2,dim-1,max
2399,channel-11 entropy dim-2,1.402162916658995,1.5416482756888858,1.5671764160809087,-0.1394853590298908,-0.1650134994219136,channel-11,entropy,dim-2,
2401,channel-11 numberofpoints dim-2,1.418411197699068,1.541452535703468,1.552612082063055,-0.1230413380043999,-0.134200884363987,channel-11,numberofpoints,dim-2,
1362,channel-6 amplitude-wasserstein-2 norm-1,1.5759191699242627,1.5244077858528613,1.6815976928791805,0.0515113840714014,-0.1056785229549177,channel-6,amplitude-wasserstein-2,norm-1,
2670,channel-12 life all percentile-75,1.4606651263926425,1.5243036159806134,1.6342297335470068,-0.0636384895879709,-0.1735646071543644,channel-12,life,all,percentile-75
2719,channel-12 bd2 dim-2 max,1.5025369755435949,1.5159314176399863,1.6502190925516034,-0.0133944420963916,-0.1476821170080087,channel-12,bd2,dim-2,max
2398,channel-11 entropy dim-1,1.4389581233897546,1.4963597804013875,1.5720777885280752,-0.0574016570116329,-0.1331196651383206,channel-11,entropy,dim-1,
1361,channel-6 amplitude-wasserstein-2 dim-2,1.399649072544641,1.4961035473508733,1.5155025565399334,-0.0964544748062319,-0.115853483995292,channel-6,amplitude-wasserstein-2,dim-2,
1436,channel-6 life dim-2 norm-2,1.399649072544641,1.4961035473508733,1.5155025565399334,-0.0964544748062319,-0.115853483995292,channel-6,life,dim-2,norm-2
2679,channel-12 life dim-1 percentile-25,1.432982096332347,1.496054583134897,1.5687392171415744,-0.06307248680255,-0.1357571208092274,channel-12,life,dim-1,percentile-25
1348,channel-6 entropy dim-1,1.416447041642612,1.4949944891276947,1.546056859053256,-0.0785474474850826,-0.1296098174106439,channel-6,entropy,dim-1,
