,Feature,true,internal,external,internal-diff,external-diff,Source,Algorithm,Dimension,Stat
2718,channel-12 bd2 dim-1 norm-2,2.469136304674066,2.533030106590922,2.6105245095755647,-0.0638938019168557,-0.1413882049014985,channel-12,bd2,dim-1,norm-2
2707,channel-12 bd2 all norm-2,2.376699407871503,2.5216085924980858,2.599353490333255,-0.1449091846265826,-0.222654082461752,channel-12,bd2,all,norm-2
2497,channel-11 bd2 all norm-2,2.224194165951958,2.3957377631575616,2.4966665237958257,-0.1715435972056034,-0.2724723578438675,channel-11,bd2,all,norm-2
2508,channel-11 bd2 dim-1 norm-2,2.273504453561276,2.3847171984610847,2.505234239428196,-0.111212744899809,-0.23172978586692,channel-11,bd2,dim-1,norm-2
2501,channel-11 bd2 dim-1 sum,2.1878635588806272,2.374466051544795,2.4554984880049813,-0.1866024926641678,-0.267634929124354,channel-11,bd2,dim-1,sum
2507,channel-11 bd2 dim-1 norm-1,2.1878635588806272,2.374466051544795,2.4554984880049813,-0.1866024926641678,-0.267634929124354,channel-11,bd2,dim-1,norm-1
1458,channel-6 bd2 dim-1 norm-2,2.303773873773628,2.348671148562559,2.4772424019072306,-0.0448972747889309,-0.1734685281336023,channel-6,bd2,dim-1,norm-2
1449,channel-6 bd2 dim-1 mean,2.308480340741228,2.3453469924057875,2.509708519831188,-0.0368666516645594,-0.2012281790899597,channel-6,bd2,dim-1,mean
1441,channel-6 bd2 all percentile-25,2.302143228131533,2.344404846829756,2.471645345249586,-0.0422616186982227,-0.169502117118053,channel-6,bd2,all,percentile-25
1452,channel-6 bd2 dim-1 percentile-25,2.295147331703726,2.33960298785753,2.476877698060737,-0.0444556561538043,-0.1817303663570113,channel-6,bd2,dim-1,percentile-25
2496,channel-11 bd2 all norm-1,2.123367245315227,2.336092348222296,2.3857089360453294,-0.2127251029070693,-0.2623416907301026,channel-11,bd2,all,norm-1
2490,channel-11 bd2 all sum,2.123367245315227,2.336092348222296,2.3857089360453294,-0.2127251029070693,-0.2623416907301026,channel-11,bd2,all,sum
1447,channel-6 bd2 all norm-2,2.2248065089680438,2.3205033535701194,2.4187627215358294,-0.095696844602076,-0.193956212567786,channel-6,bd2,all,norm-2
1438,channel-6 bd2 all mean,2.30163879085527,2.31292598426352,2.5049902955694927,-0.0112871934082501,-0.2033515047142229,channel-6,bd2,all,mean
2491,channel-11 bd2 all percentile-25,2.178446439567089,2.307040333847937,2.4464271792037184,-0.128593894280848,-0.2679807396366289,channel-11,bd2,all,percentile-25
1661,channel-7 bd2 dim-1 sum,2.1483168271639066,2.300744208370186,2.3272321163349794,-0.1524273812062793,-0.1789152891710728,channel-7,bd2,dim-1,sum
1667,channel-7 bd2 dim-1 norm-1,2.1483168271639066,2.300744208370186,2.3272321163349794,-0.1524273812062793,-0.1789152891710728,channel-7,bd2,dim-1,norm-1
2702,channel-12 bd2 all median,2.2087327871645623,2.288805513586329,2.4498207378305787,-0.0800727264217662,-0.2410879506660164,channel-12,bd2,all,median
2717,channel-12 bd2 dim-1 norm-1,2.072502380549917,2.28642694985606,2.3226495864494225,-0.2139245693061422,-0.2501472058995051,channel-12,bd2,dim-1,norm-1
2711,channel-12 bd2 dim-1 sum,2.072502380549917,2.28642694985606,2.3226495864494225,-0.2139245693061422,-0.2501472058995051,channel-12,bd2,dim-1,sum
2502,channel-11 bd2 dim-1 percentile-25,2.170762400931812,2.283644756626579,2.4289456457029908,-0.1128823556947673,-0.2581832447711791,channel-11,bd2,dim-1,percentile-25
1442,channel-6 bd2 all median,2.2581209273339016,2.2807219122936804,2.4391510734802324,-0.0226009849597788,-0.1810301461463308,channel-6,bd2,all,median
2701,channel-12 bd2 all percentile-25,2.169360981217013,2.270147759782752,2.3898804432270584,-0.1007867785657388,-0.2205194620100452,channel-12,bd2,all,percentile-25
2712,channel-12 bd2 dim-1 percentile-25,2.163978836364421,2.2658831378376894,2.3922496232466,-0.1019043014732683,-0.2282707868821791,channel-12,bd2,dim-1,percentile-25
2709,channel-12 bd2 dim-1 mean,2.194523086728322,2.2622931173853704,2.4467876943285685,-0.0677700306570483,-0.2522646076002464,channel-12,bd2,dim-1,mean
1453,channel-6 bd2 dim-1 median,2.235932861916224,2.260563748676519,2.408731072512376,-0.0246308867602951,-0.1727982105961518,channel-6,bd2,dim-1,median
2503,channel-11 bd2 dim-1 median,2.1559134842820784,2.259595940570661,2.3917470805370784,-0.1036824562885825,-0.235833596255,channel-11,bd2,dim-1,median
2698,channel-12 bd2 all mean,2.1607185876324517,2.2575904621835026,2.418699064049331,-0.0968718745510512,-0.2579804764168796,channel-12,bd2,all,mean
1668,channel-7 bd2 dim-1 norm-2,2.2489302000215705,2.2552720557212824,2.389219452822536,-0.0063418556997119,-0.1402892528009651,channel-7,bd2,dim-1,norm-2
1657,channel-7 bd2 all norm-2,2.180415705906228,2.2536320684426325,2.3366670711580184,-0.0732163625364044,-0.1562513652517903,channel-7,bd2,all,norm-2
2700,channel-12 bd2 all sum,2.026871800007749,2.2492066075408883,2.276981666229266,-0.2223348075331395,-0.2501098662215173,channel-12,bd2,all,sum
