Feature,IV,IVs
channel-0 landscape dim-1 max,0.10121839952076711,"[0.09907523358749289, 0.04298186953073104, 0.05264808991807469, 0.0982876282262542, 0.07577663237712293, 0.027234742015319127, 0.11400546313096493, 0.2997375373801771]"
channel-0 landscape dim-1 mean,0.10390824026015155,"[0.18550638196138997, 0.06213961941620375, 0.07430060763305146, 0.14034815706073825, 0.06675228012830058, 0.03381857651734002, 0.17350027068193496, 0.09490002868225342]"
channel-0 landscape dim-1 std,0.09965218292695391,"[0.1107093315381069, 0.050054623602021085, 0.05740996110744616, 0.12687646746852715, 0.04135434237574124, 0.03291960816322546, 0.1573588232976976, 0.2205343058628657]"
channel-0 landscape dim-1 sum,0.10390824026015155,"[0.18550638196138997, 0.06213961941620375, 0.07430060763305146, 0.14034815706073825, 0.06675228012830058, 0.03381857651734002, 0.17350027068193496, 0.09490002868225342]"
channel-0 landscape dim-1 norm-1,0.10390824026015155,"[0.18550638196138997, 0.06213961941620375, 0.07430060763305146, 0.14034815706073825, 0.06675228012830058, 0.03381857651734002, 0.17350027068193496, 0.09490002868225342]"
channel-0 landscape dim-1 norm-2,0.0990282881130726,"[0.1107093315381069, 0.054926679472691545, 0.04409512106131848, 0.1155925890993562, 0.051016441899500484, 0.03627440069696539, 0.16450112294767202, 0.2151106181889697]"
channel-0 landscape dim-2 max,0.12340537213839889,"[0.3026992822581571, 0.0417127848643036, 0.054610601159908304, 0.08076992369387566, 0.029347815292656728, 0.03871404263168357, 0.032600304981817964, 0.4067882222247881]"
channel-0 landscape dim-2 mean,0.14102084141819415,"[0.38258374402920325, 0.0809029447197258, 0.039467561357986534, 0.08036427642652019, 0.021952847994811963, 0.023349657031668063, 0.04196946305589421, 0.45757623672974324]"
channel-0 landscape dim-2 std,0.14445893966843598,"[0.32572817171755103, 0.09187782765243326, 0.07713267718469637, 0.11293858820027203, 0.023459498131840728, 0.04594654753552909, 0.03772094705029582, 0.4408672598748697]"
channel-0 landscape dim-2 sum,0.14102084141819415,"[0.38258374402920325, 0.0809029447197258, 0.039467561357986534, 0.08036427642652019, 0.021952847994811963, 0.023349657031668063, 0.04196946305589421, 0.45757623672974324]"
channel-0 landscape dim-2 norm-1,0.14102084141819415,"[0.38258374402920325, 0.0809029447197258, 0.039467561357986534, 0.08036427642652019, 0.021952847994811963, 0.023349657031668063, 0.04196946305589421, 0.45757623672974324]"
channel-0 landscape dim-2 norm-2,0.14308878971233852,"[0.3319727555864874, 0.08919681738360642, 0.07713267718469637, 0.11201184850380483, 0.02397324270335057, 0.053216764187166685, 0.034467972507784335, 0.42273823964181145]"
channel-0 silhouette-1 dim-1 max,0.07977622968293355,"[0.06366426185480611, 0.02718292468577018, 0.0497897985801196, 0.055361133042237706, 0.09131638846332538, 0.02148610144388361, 0.10984954702037072, 0.21955968237295503]"
channel-0 silhouette-1 dim-1 mean,0.10112650869900743,"[0.18425010932926122, 0.04413957993686624, 0.04458586556787976, 0.13849781820217236, 0.06340991397070284, 0.037742547984496964, 0.12779994002488085, 0.16858629457579918]"
channel-0 silhouette-1 dim-1 std,0.09870986766047321,"[0.11992982250110823, 0.028949413008077362, 0.03367419527680892, 0.10016095421662248, 0.08103736155101363, 0.015785475924257452, 0.12133551213571664, 0.2888062066701811]"
channel-0 silhouette-1 dim-1 sum,0.10112650869900743,"[0.18425010932926122, 0.04413957993686624, 0.04458586556787976, 0.13849781820217236, 0.06340991397070284, 0.037742547984496964, 0.12779994002488085, 0.16858629457579918]"
channel-0 silhouette-1 dim-1 norm-1,0.10112650869900743,"[0.18425010932926122, 0.04413957993686624, 0.04458586556787976, 0.13849781820217236, 0.06340991397070284, 0.037742547984496964, 0.12779994002488085, 0.16858629457579918]"
channel-0 silhouette-1 dim-1 norm-2,0.09739325017340397,"[0.11329671220568958, 0.030284186268105105, 0.05444315243808284, 0.0992555027552835, 0.10251509006536338, 0.021338511258151803, 0.1316508835939608, 0.2263619628025948]"
channel-0 silhouette-1 dim-2 max,0.0790958090404765,"[0.11683904662481222, 0.037511403470111955, 0.058978814469595325, 0.08466348840420652, 0.0231436808746146, 0.03008343677778655, 0.026917427381645737, 0.25462917432103904]"
channel-0 silhouette-1 dim-2 mean,0.11017354022177944,"[0.21179870315507202, 0.05844064108895026, 0.09101340812659027, 0.11881921553941424, 0.04386579690753404, 0.03881605972675021, 0.05265655749882427, 0.2659779397311003]"
channel-0 silhouette-1 dim-2 std,0.08770224477880492,"[0.1602396209955722, 0.04997517949349585, 0.022619737498224053, 0.0919841128539938, 0.04648698600758147, 0.02607554013377756, 0.04118004397328848, 0.2630567372745059]"
channel-0 silhouette-1 dim-2 sum,0.11017354022177944,"[0.21179870315507202, 0.05844064108895026, 0.09101340812659027, 0.11881921553941424, 0.04386579690753404, 0.03881605972675021, 0.05265655749882427, 0.2659779397311003]"
channel-0 silhouette-1 dim-2 norm-1,0.11017354022177944,"[0.21179870315507202, 0.05844064108895026, 0.09101340812659027, 0.11881921553941424, 0.04386579690753404, 0.03881605972675021, 0.05265655749882427, 0.2659779397311003]"
channel-0 silhouette-1 dim-2 norm-2,0.09307546359032536,"[0.16757996618086599, 0.04997517949349585, 0.028055032300043567, 0.1129478484780866, 0.03716637959080672, 0.029391490232943025, 0.04681656114686137, 0.2726712512994997]"
channel-0 silhouette-2 dim-1 max,0.11268460475591843,"[0.12601839211963975, 0.01586715491114024, 0.0829022875275359, 0.04663347169474842, 0.10275961305618539, 0.04224162578284445, 0.14798874723119776, 0.33706554572405556]"
channel-0 silhouette-2 dim-1 mean,0.09164381825769721,"[0.07678263327721588, 0.04425878128635233, 0.056453741097823876, 0.08720274532014366, 0.05626244504174991, 0.03653308712260271, 0.10924329191223309, 0.2664138210034563]"
channel-0 silhouette-2 dim-1 std,0.10446244423540131,"[0.058361733062475406, 0.033183686811078035, 0.05175912938219031, 0.0778922816237231, 0.0915877913176559, 0.053190776609300515, 0.12869601713431883, 0.34102813794246833]"
channel-0 silhouette-2 dim-1 sum,0.09164381825769721,"[0.07678263327721588, 0.04425878128635233, 0.056453741097823876, 0.08720274532014366, 0.05626244504174991, 0.03653308712260271, 0.10924329191223309, 0.2664138210034563]"
channel-0 silhouette-2 dim-1 norm-1,0.09164381825769721,"[0.07678263327721588, 0.04425878128635233, 0.056453741097823876, 0.08720274532014366, 0.05626244504174991, 0.03653308712260271, 0.10924329191223309, 0.2664138210034563]"
channel-0 silhouette-2 dim-1 norm-2,0.10589877687773759,"[0.06759733587848346, 0.03794770705059431, 0.06271460361917006, 0.05618478607179642, 0.0877299539969666, 0.055646233087833716, 0.12763531995051164, 0.3517342753665445]"
channel-0 silhouette-2 dim-2 max,0.0736693453358846,"[0.15066858448902465, 0.04425856436376527, 0.014193892170454447, 0.0727745684639318, 0.04371205799745486, 0.019038248745964347, 0.029463309462317226, 0.21524553699416415]"
channel-0 silhouette-2 dim-2 mean,0.0973633316713765,"[0.2112001721512509, 0.047208567107654975, 0.028746829943448217, 0.10908202504226641, 0.033143589757776225, 0.03076415192572423, 0.03567794629475402, 0.28308337114813703]"
channel-0 silhouette-2 dim-2 std,0.0986566968601116,"[0.22369247961488772, 0.040316768573166475, 0.007337958960807337, 0.08763801516308471, 0.041043526872227974, 0.02455067113548752, 0.047705277569272925, 0.316968876991958]"
channel-0 silhouette-2 dim-2 sum,0.0973633316713765,"[0.2112001721512509, 0.047208567107654975, 0.028746829943448217, 0.10908202504226641, 0.033143589757776225, 0.03076415192572423, 0.03567794629475402, 0.28308337114813703]"
channel-0 silhouette-2 dim-2 norm-1,0.0973633316713765,"[0.2112001721512509, 0.047208567107654975, 0.028746829943448217, 0.10908202504226641, 0.033143589757776225, 0.03076415192572423, 0.03567794629475402, 0.28308337114813703]"
channel-0 silhouette-2 dim-2 norm-2,0.10011567793274567,"[0.23825375540360613, 0.03901620422021648, 0.004546619538564135, 0.08870495229191178, 0.038994877725094246, 0.026734859721341667, 0.047705277569272925, 0.316968876991958]"
channel-0 entropy dim-1,0.1539221323706048,"[0.4580067963743547, 0.08217073478059611, 0.06510052448152044, 0.05773307736569391, 0.04709275511331172, 0.04554423003386251, 0.022665007182801178, 0.4530639336326977]"
