name,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF,Source,Algorithm,Dimension,Stat
channel-0 landscape dim-1 max,1327,0.4793081573406408,0.1573184753725964,0.20468755381785053,0.2966751825336017,2610,778,1832,channel-0,landscape,dim-1,max
channel-0 landscape dim-1 mean,1327,0.4782816415121832,0.1569669268444152,0.1642097503378969,0.21517857860247813,2615,1956,659,channel-0,landscape,dim-1,mean
channel-0 landscape dim-1 std,1327,0.5450836845815538,0.1798444697614286,0.1858416018158253,0.258731397200125,2334,1229,1105,channel-0,landscape,dim-1,std
channel-0 landscape dim-1 sum,1327,0.4782816415121832,0.1569669268444152,0.1642097503378969,0.21517857860247813,2613,1955,658,channel-0,landscape,dim-1,sum
channel-0 landscape dim-1 norm-1,1327,0.4782816415121832,0.1569669268444152,0.1642097503378969,0.21517857860247813,2614,1957,657,channel-0,landscape,dim-1,norm-1
channel-0 landscape dim-1 norm-2,1327,0.3886316824665996,0.1262647103950769,0.17505460005786938,0.23701322244027578,3036,1570,1466,channel-0,landscape,dim-1,norm-2
channel-0 landscape dim-2 max,1285,0.5977708253919773,0.1978881143819008,0.11058391384601853,0.10721018157178996,2147,3867,-1720,channel-0,landscape,dim-2,max
channel-0 landscape dim-2 mean,1285,0.7848050246376311,0.2619412888596377,0.17032295660024943,0.22748669580945408,1561,1737,-176,channel-0,landscape,dim-2,mean
channel-0 landscape dim-2 std,1285,0.7627134416315541,0.2543756349498994,0.15766225142669388,0.20199607165715838,1635,2229,-594,channel-0,landscape,dim-2,std
channel-0 landscape dim-2 sum,1285,0.7848050246376299,0.2619412888596373,0.17032295660024943,0.22748669580945408,1563,1735,-172,channel-0,landscape,dim-2,sum
channel-0 landscape dim-2 norm-1,1285,0.7848050246376299,0.2619412888596373,0.17032295660024943,0.22748669580945408,1564,1734,-170,channel-0,landscape,dim-2,norm-1
channel-0 landscape dim-2 norm-2,1285,0.707331873924754,0.2354092361122457,0.15697066299342116,0.2006036515210785,1791,2264,-473,channel-0,landscape,dim-2,norm-2
channel-0 silhouette-1 dim-1 max,1327,0.5324912722634675,0.175531975113075,0.11498775910219165,0.11607673068664104,2366,3762,-1396,channel-0,silhouette-1,dim-1,max
channel-0 silhouette-1 dim-1 mean,1327,0.5452258980330633,0.179893173276932,0.1775635412547634,0.24206463752289042,2332,1473,859,channel-0,silhouette-1,dim-1,mean
channel-0 silhouette-1 dim-1 std,1327,0.4051557807426326,0.131923680541878,0.13264210533896684,0.15162137835098205,2967,3227,-260,channel-0,silhouette-1,dim-1,std
channel-0 silhouette-1 dim-1 sum,1327,0.5452258980330641,0.1798931732769323,0.1775635412547634,0.24206463752289042,2329,1476,853,channel-0,silhouette-1,dim-1,sum
channel-0 silhouette-1 dim-1 norm-1,1327,0.5452258980330641,0.1798931732769323,0.1775635412547634,0.24206463752289042,2330,1475,855,channel-0,silhouette-1,dim-1,norm-1
channel-0 silhouette-1 dim-1 norm-2,1327,0.4284390884595944,0.1398974616879378,0.12461657688007187,0.13546305803905012,2852,3460,-608,channel-0,silhouette-1,dim-1,norm-2
channel-0 silhouette-1 dim-2 max,1285,0.3998871854599612,0.1301193567644372,0.12791977707046154,0.142113606598453,2994,3354,-360,channel-0,silhouette-1,dim-2,max
channel-0 silhouette-1 dim-2 mean,1285,2.094607422497944,0.7105063206018443,0.12732349191386,0.14091306677020787,142,3371,-3229,channel-0,silhouette-1,dim-2,mean
channel-0 silhouette-1 dim-2 std,1285,1.162737389876491,0.3913709216704459,0.12790512602187068,0.1420841086859792,832,3355,-2523,channel-0,silhouette-1,dim-2,std
channel-0 silhouette-1 dim-2 sum,1285,2.0946074224979454,0.7105063206018447,0.12732349191386,0.14091306677020787,140,3369,-3229,channel-0,silhouette-1,dim-2,sum
channel-0 silhouette-1 dim-2 norm-1,1285,2.0946074224979454,0.7105063206018447,0.12732349191386,0.14091306677020787,139,3368,-3229,channel-0,silhouette-1,dim-2,norm-1
channel-0 silhouette-1 dim-2 norm-2,1285,0.8823893571735522,0.2953607720526939,0.1261415933753334,0.1385334732942729,1319,3411,-2092,channel-0,silhouette-1,dim-2,norm-2
channel-0 silhouette-2 dim-1 max,1327,0.3923395391823459,0.1275345316048344,0.1455053887309642,0.17751986645374135,3024,2670,354,channel-0,silhouette-2,dim-1,max
channel-0 silhouette-2 dim-1 mean,1327,0.6315558054804955,0.2094583792482445,0.19836408214000814,0.2839437242405642,2019,916,1103,channel-0,silhouette-2,dim-1,mean
channel-0 silhouette-2 dim-1 std,1327,0.4466573392235383,0.1461366243628313,0.162735642431638,0.2122106609325478,2771,2015,756,channel-0,silhouette-2,dim-1,std
channel-0 silhouette-2 dim-1 sum,1327,0.6315558054804955,0.2094583792482445,0.19836408214000814,0.2839437242405642,2018,918,1100,channel-0,silhouette-2,dim-1,sum
channel-0 silhouette-2 dim-1 norm-1,1327,0.6315558054804955,0.2094583792482445,0.19836408214000814,0.2839437242405642,2017,917,1100,channel-0,silhouette-2,dim-1,norm-1
channel-0 silhouette-2 dim-1 norm-2,1327,0.5849008732972786,0.1934805713209704,0.168108882591005,0.22302895608316314,2196,1804,392,channel-0,silhouette-2,dim-1,norm-2
channel-0 silhouette-2 dim-2 max,1285,0.9790505629940996,0.3284641141506811,0.11263742884838959,0.11134465736906826,1127,3823,-2696,channel-0,silhouette-2,dim-2,max
channel-0 silhouette-2 dim-2 mean,1285,1.8181380013555395,0.6158244702150364,0.14348775887402593,0.17345764056216256,247,2755,-2508,channel-0,silhouette-2,dim-2,mean
channel-0 silhouette-2 dim-2 std,1285,1.0488247016153238,0.352359503834303,0.11959304142101249,0.12534884618850664,1032,3628,-2596,channel-0,silhouette-2,dim-2,std
channel-0 silhouette-2 dim-2 sum,1285,1.8181380013555395,0.6158244702150364,0.14348775887402593,0.17345764056216256,248,2753,-2505,channel-0,silhouette-2,dim-2,sum
channel-0 silhouette-2 dim-2 norm-1,1285,1.8181380013555395,0.6158244702150364,0.14348775887402593,0.17345764056216256,246,2754,-2508,channel-0,silhouette-2,dim-2,norm-1
channel-0 silhouette-2 dim-2 norm-2,1285,1.1366959745287597,0.3824525777117316,0.12294893888144426,0.13210549360149482,883,3517,-2634,channel-0,silhouette-2,dim-2,norm-2
channel-0 entropy dim-1,1327,0.0983632010873856,0.0268571274067342,0.1178488208731238,0.12183709310560509,4149,3684,465,channel-0,entropy,dim-1,
channel-0 entropy dim-2,1309,0.0865981087712798,0.0228279631474191,0.1695264050971161,0.225882946673369,4163,1755,2408,channel-0,entropy,dim-2,
channel-0 amplitude-bottleneck dim-1,1327,0.2810352246197061,0.0894163975440051,0.17178848002789962,0.23043732978825038,3579,1684,1895,channel-0,amplitude-bottleneck,dim-1,
channel-0 amplitude-bottleneck dim-2,1324,0.5709618533015913,0.1887069070208936,0.12339121800900424,0.13299596303874106,2242,3509,-1267,channel-0,amplitude-bottleneck,dim-2,
channel-0 amplitude-bottleneck norm-1,1327,0.2210108560394442,0.0688599893090718,0.145191002380216,0.17688689189223966,3867,2677,1190,channel-0,amplitude-bottleneck,norm-1,
channel-0 amplitude-bottleneck norm-2,1327,0.2738457399605213,0.0869542311747683,0.17679017669104943,0.2405075721654637,3619,1507,2112,channel-0,amplitude-bottleneck,norm-2,
channel-0 amplitude-wasserstein-1 dim-1,1327,0.1938891475985644,0.0595716798453236,0.12465652716017714,0.135543492545737,3961,3456,505,channel-0,amplitude-wasserstein-1,dim-1,
channel-0 amplitude-wasserstein-1 dim-2,1325,0.3338323591985662,0.1074977114788034,0.16786534056056243,0.22253861701608924,3309,1808,1501,channel-0,amplitude-wasserstein-1,dim-2,
channel-0 amplitude-wasserstein-1 norm-1,1327,0.2623811983989262,0.0830279958450058,0.13029259299645285,0.14689095178759465,3689,3285,404,channel-0,amplitude-wasserstein-1,norm-1,
channel-0 amplitude-wasserstein-1 norm-2,1327,0.1471150206878658,0.0435530515723212,0.13268076187839498,0.15169920808511483,4064,3221,843,channel-0,amplitude-wasserstein-1,norm-2,
channel-0 amplitude-wasserstein-2 dim-1,1327,0.354781168533011,0.1146720023026845,0.1979326937006199,0.2830751817367027,3202,938,2264,channel-0,amplitude-wasserstein-2,dim-1,
channel-0 amplitude-wasserstein-2 dim-2,1325,0.6030131338042443,0.1996834357549509,0.13476999186996444,0.15590559120143893,2125,3138,-1013,channel-0,amplitude-wasserstein-2,dim-2,
channel-0 amplitude-wasserstein-2 norm-1,1327,0.313049772952667,0.1003803466959126,0.17857882703936626,0.24410877866571845,3414,1456,1958,channel-0,amplitude-wasserstein-2,norm-1,
channel-0 amplitude-wasserstein-2 norm-2,1327,0.2775699448075438,0.0882296510916566,0.18509452606964658,0.25722726083504216,3602,1260,2342,channel-0,amplitude-wasserstein-2,norm-2,
