,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(13.5, 116.5)","(117.5, 426.5)","(427.5, 680.5)","(681.5, 886.5)","(887.5, 1657.5)","(1658.5, 2338.5)","(2339.5, 2678.5)","(2679.5, 3015.5)","(3016.5, 3301.5)","(3302.5, 3795.5)","(3796.5, 4175.5)","(4176.5, 4996.5)"
"Time length, sec",103.0,309.0,253.0,205.0,770.0,680.0,339.0,336.0,285.0,493.0,379.0,820.0
Number of epochs,98,296,242,199,739,643,329,320,276,479,367,770
