,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 118.7)","(119.5, 198.7)","(199.5, 317.1)","(319.5, 506.7)","(507.5, 620.3)","(621.1, 695.5)","(696.3, 758.7)","(759.5, 877.1)","(877.9, 938.7)"
"Time length, sec",108.8,79.19999999999999,117.60000000000002,187.2,112.79999999999995,74.39999999999998,62.40000000000009,117.60000000000002,60.80000000000007
Number of epochs,124,86,131,213,128,87,73,134,70
