,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 234.5)","(235.5, 411.5)","(412.5, 601.5)","(602.5, 996.5)","(997.5, 1231.5)","(1232.5, 1389.5)","(1390.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",224.0,176.0,189.0,394.0,234.0,157.0,711.0,243.0
Number of epochs,199,149,163,332,202,129,621,222
