,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 407.5)","(409.5, 621.5)","(622.5, 996.5)","(997.5, 1315.5)","(1316.5, 1503.5)","(1505.5, 1756.5)","(1757.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",397.0,212.0,374.0,318.0,187.0,251.0,344.0,243.0
Number of epochs,346,183,314,266,167,217,302,222
