,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 103.5)","(104.5, 575.5)","(576.5, 893.5)","(894.5, 1085.5)","(1086.5, 1141.5)","(1142.5, 1200.5)","(1201.5, 1755.5)"
"Time length, sec",98.0,471.0,317.0,191.0,55.0,58.0,554.0
Number of epochs,97,447,301,181,51,55,510
