,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 149.5)","(151.5, 198.5)","(200.5, 295.5)","(296.5, 516.5)","(517.5, 771.5)","(772.5, 877.5)","(878.5, 1046.5)","(1047.5, 1153.5)","(1154.5, 1247.5)","(1248.5, 1304.5)"
"Time length, sec",141.0,47.0,95.0,220.0,254.0,105.0,168.0,106.0,93.0,56.0
Number of epochs,133,42,86,197,227,98,155,99,89,54
