,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,0,40,20,3,Median,"[0, 192, 822, 1180]",81416.92385954113,20.024159367399278,0.12112120210334884,170.66923991766257,2.447401793517914,0.18577306496421825,194.8349614058249,2.024919295677451
1,60,50,10,4,Median,"[0, 196, 631, 897, 1180]",40557.43311405261,16.680629420136814,0.08712767344047566,139.08578979772216,2.8948482410205223,0.1503768318627374,104.0981773238579,2.365396363448736
2,40,50,10,5,Median,"[0, 192, 510, 690, 938, 1180]",26231.186857772416,14.678226532682483,0.03280825350048462,106.3426485073515,3.574197528127199,0.12417423861857554,66.53796968517067,2.7955820276966765
3,0,50,10,6,Median,"[0, 13, 192, 488, 690, 938, 1180]",21728.323686952925,15.084116998198017,0.021489071114887258,86.4851330242424,3.442244857345019,0.11364633674861617,54.85176244550216,2.7073824087848815
4,0,50,15,7,Mean,"[0, 30, 208, 484, 699, 897, 1081, 1180]",16546.83016368389,12.499654630099684,0.0022265700543327178,74.15209302930259,5.1313546569453665,0.09727718026953708,42.81228195898731,3.850906935724256
5,60,35,20,8,Mode,"[0, 133, 261, 458, 622, 827, 938, 1037, 1180]",12198.544766321493,12.503254560091639,-0.01954605362456359,74.75880673803235,3.9304044111042096,0.09287358388482711,33.80361670833401,3.2159875481421367
6,40,45,20,9,Median,"[0, 133, 261, 495, 644, 745, 912, 1037, 1120, 1180]",11410.685644118406,13.046910715018267,-0.013510948730641629,66.69415244171958,5.430742391757058,0.10007520570599304,30.88530765287014,3.1278749300704645
7,20,40,20,10,Mode,"[0, 133, 175, 261, 458, 685, 783, 938, 1037, 1126, 1180]",9972.671408666276,14.062306236456871,-0.030364914738355602,63.090167577443744,4.3848201558269135,0.10534373370937425,27.33829524927287,2.735147495357352
8,40,35,20,11,Mode,"[0, 83, 133, 261, 458, 622, 685, 783, 938, 1037, 1126, 1180]",10133.901856113212,14.036570583323343,-0.024299784828793462,60.00759454862218,4.704381803750252,0.10660563877592591,28.212428797841266,2.837745487860701
9,40,40,15,12,Mode,"[0, 133, 175, 314, 458, 510, 685, 729, 783, 938, 1037, 1126, 1180]",8137.674229908146,13.910233227844662,-0.040205131341722114,53.95072111159451,4.108772493083345,0.09990941712078792,22.87759022272205,2.692173000585269
10,20,45,20,13,Median,"[0, 83, 133, 189, 261, 458, 510, 644, 745, 852, 928, 1037, 1120, 1180]",7972.988924888433,13.926937736935159,-0.01943087032944904,54.193322245778496,4.686392789246185,0.1120312089147326,22.464119678839864,2.70189853884095
11,40,35,20,14,Median,"[0, 83, 133, 175, 261, 314, 458, 510, 631, 726, 827, 929, 1037, 1126, 1180]",7449.843432564585,13.736471264033478,-0.03634976766684973,50.994907426932606,4.273579495699624,0.11138439003873093,20.937149906373,2.730937691745333
12,40,35,20,15,Median,"[0, 83, 133, 175, 261, 314, 381, 458, 631, 685, 743, 854, 929, 1037, 1126, 1180]",6610.372095056034,12.982473193709314,-0.054236688127449625,48.47062794823104,4.760588909888479,0.10152845130595753,18.70835850776528,3.0502880282533513
13,40,35,20,16,Median,"[0, 83, 133, 175, 261, 314, 381, 458, 510, 631, 685, 743, 854, 929, 1037, 1126, 1180]",6262.496316854793,12.886630969982674,-0.04985094365840995,46.20127630619098,4.653895312258012,0.1053129562447275,18.35201744304606,3.052292754543286
