,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 172.5)","(173.5, 221.5)","(222.5, 296.5)","(297.5, 516.5)","(517.5, 770.5)","(771.5, 924.5)","(926.5, 1059.5)","(1060.5, 1166.5)","(1167.5, 1241.5)","(1242.5, 1304.5)"
"Time length, sec",164.0,48.0,74.0,219.0,253.0,153.0,133.0,106.0,74.0,62.0
Number of epochs,153,44,65,196,226,143,122,97,74,60
