,Feature,true,internal,external,internal-diff,external-diff,Source,Algorithm,Dimension,Stat
6058,channel-28 bd2 all mean,1.5815005407927067,1.900584457104106,1.7011516806072766,-0.3190839163113992,-0.1196511398145698,channel-28,bd2,all,mean
6069,channel-28 bd2 dim-1 mean,1.59729010845539,1.8881146252322216,1.688721147775673,-0.2908245167768317,-0.0914310393202828,channel-28,bd2,dim-1,mean
6072,channel-28 bd2 dim-1 percentile-25,1.5182602867143324,1.8540558040242652,1.633476679624967,-0.3357955173099329,-0.1152163929106342,channel-28,bd2,dim-1,percentile-25
6061,channel-28 bd2 all percentile-25,1.5239264887338553,1.853977200030756,1.619362691727262,-0.3300507112969009,-0.0954362029934068,channel-28,bd2,all,percentile-25
6063,channel-28 bd2 all percentile-75,1.5307757098186676,1.8379740099466908,1.6681001018957915,-0.3071983001280232,-0.1373243920771241,channel-28,bd2,all,percentile-75
6080,channel-28 bd2 dim-2 mean,1.5198377235228293,1.835855482742056,1.6412310088576745,-0.3160177592192266,-0.1213932853348449,channel-28,bd2,dim-2,mean
6073,channel-28 bd2 dim-1 median,1.529946991837932,1.8272271004376328,1.6368943141921668,-0.2972801085997008,-0.1069473223542347,channel-28,bd2,dim-1,median
6062,channel-28 bd2 all median,1.5480113937874584,1.8262298288235053,1.638462059924534,-0.278218435036047,-0.0904506661370756,channel-28,bd2,all,median
819,channel-3 bd2 dim-1 mean,1.665399471902853,1.820178304080548,1.7601108485258776,-0.154778832177695,-0.0947113766230245,channel-3,bd2,dim-1,mean
823,channel-3 bd2 dim-1 median,1.613707367085314,1.803134430545664,1.7172446607059269,-0.1894270634603494,-0.1035372936206127,channel-3,bd2,dim-1,median
808,channel-3 bd2 all mean,1.6280529746921584,1.7994797445302797,1.7278930406586783,-0.1714267698381211,-0.0998400659665201,channel-3,bd2,all,mean
6074,channel-28 bd2 dim-1 percentile-75,1.5157735453548264,1.7978855220776448,1.602030470424306,-0.2821119767228184,-0.0862569250694795,channel-28,bd2,dim-1,percentile-75
811,channel-3 bd2 all percentile-25,1.5987584032455666,1.7953974253330385,1.7069194973478132,-0.1966390220874716,-0.1081610941022466,channel-3,bd2,all,percentile-25
822,channel-3 bd2 dim-1 percentile-25,1.612083395892964,1.7953015247616029,1.702954517065437,-0.1832181288686387,-0.0908711211724728,channel-3,bd2,dim-1,percentile-25
6078,channel-28 bd2 dim-1 norm-2,1.4778848116048284,1.7838272198149216,1.6044466346483983,-0.3059424082100932,-0.1265618230435701,channel-28,bd2,dim-1,norm-2
812,channel-3 bd2 all median,1.604616985462804,1.776780800795324,1.6943434789408935,-0.1721638153325198,-0.0897264934780894,channel-3,bd2,all,median
828,channel-3 bd2 dim-1 norm-2,1.5695086482774352,1.7543267867109251,1.6579486528655294,-0.1848181384334901,-0.0884400045880942,channel-3,bd2,dim-1,norm-2
813,channel-3 bd2 all percentile-75,1.5862342795325133,1.752609588588496,1.6805742686850178,-0.1663753090559827,-0.0943399891525045,channel-3,bd2,all,percentile-75
1029,channel-4 bd2 dim-1 mean,1.5978289202644174,1.7485981745738148,1.6949035226302311,-0.1507692543093974,-0.0970746023658137,channel-4,bd2,dim-1,mean
824,channel-3 bd2 dim-1 percentile-75,1.5479254582070876,1.7338686433909,1.6547644661638423,-0.1859431851838124,-0.1068390079567549,channel-3,bd2,dim-1,percentile-75
6084,channel-28 bd2 dim-2 median,1.443831745182551,1.7269711920612802,1.5504400158295233,-0.2831394468787291,-0.1066082706469722,channel-28,bd2,dim-2,median
1018,channel-4 bd2 all mean,1.5814567706936031,1.725954128666428,1.6737818407391276,-0.1444973579728248,-0.0923250700455244,channel-4,bd2,all,mean
1033,channel-4 bd2 dim-1 median,1.5780576353283928,1.7240048252366411,1.6580491582265466,-0.1459471899082485,-0.0799915228981538,channel-4,bd2,dim-1,median
6083,channel-28 bd2 dim-2 percentile-25,1.458344748562165,1.7187755095642117,1.5231650189308308,-0.2604307610020466,-0.0648202703686657,channel-28,bd2,dim-2,percentile-25
1021,channel-4 bd2 all percentile-25,1.553412347858148,1.688209415245852,1.6444045504755018,-0.1347970673877041,-0.0909922026173539,channel-4,bd2,all,percentile-25
1032,channel-4 bd2 dim-1 percentile-25,1.555086154472593,1.6826234847635084,1.6511613897827415,-0.1275373302909157,-0.096075235310149,channel-4,bd2,dim-1,percentile-25
817,channel-3 bd2 all norm-2,1.4755720288543002,1.6791544220390566,1.5846578873751636,-0.2035823931847564,-0.1090858585208633,channel-3,bd2,all,norm-2
1022,channel-4 bd2 all median,1.5292220508733685,1.6781589029905906,1.6211398163846134,-0.148936852117222,-0.0919177655112448,channel-4,bd2,all,median
6067,channel-28 bd2 all norm-2,1.3932878191737037,1.6754044517592408,1.4981027003981071,-0.2821166325855373,-0.1048148812244038,channel-28,bd2,all,norm-2
6085,channel-28 bd2 dim-2 percentile-75,1.4316855159854287,1.675046111542,1.5022627624157363,-0.2433605955565712,-0.0705772464303078,channel-28,bd2,dim-2,percentile-75
1023,channel-4 bd2 all percentile-75,1.5011409922410732,1.6705525442240206,1.5988544197599828,-0.1694115519829473,-0.0977134275189095,channel-4,bd2,all,percentile-75
1040,channel-4 bd2 dim-2 mean,1.473120722554319,1.6516639459108913,1.5956016201326706,-0.1785432233565722,-0.1224808975783515,channel-4,bd2,dim-2,mean
1034,channel-4 bd2 dim-1 percentile-75,1.500656856182888,1.6505753923197843,1.5795709220788834,-0.1499185361368964,-0.0789140658959954,channel-4,bd2,dim-1,percentile-75
830,channel-3 bd2 dim-2 mean,1.450697515044851,1.6385490951026238,1.5420159705918255,-0.1878515800577731,-0.0913184555469748,channel-3,bd2,dim-2,mean
1038,channel-4 bd2 dim-1 norm-2,1.5161198749378506,1.628696706305491,1.5991211249211106,-0.1125768313676403,-0.0830012499832599,channel-4,bd2,dim-1,norm-2
833,channel-3 bd2 dim-2 percentile-25,1.4070072417772863,1.6220408208483572,1.5317130112454416,-0.2150335790710709,-0.1247057694681552,channel-3,bd2,dim-2,percentile-25
834,channel-3 bd2 dim-2 median,1.443795303184728,1.6211656608075535,1.524961206212272,-0.1773703576228256,-0.081165903027544,channel-3,bd2,dim-2,median
6025,channel-28 life all mean,1.3319020686084713,1.6189538852561287,1.4149458809355988,-0.2870518166476574,-0.0830438123271275,channel-28,life,all,mean
1043,channel-4 bd2 dim-2 percentile-25,1.4326012637432473,1.6124938956316222,1.5498263707026363,-0.1798926318883749,-0.1172251069593892,channel-4,bd2,dim-2,percentile-25
821,channel-3 bd2 dim-1 sum,1.381826628190996,1.592388532639721,1.4771249099417347,-0.210561904448725,-0.0952982817507388,channel-3,bd2,dim-1,sum
827,channel-3 bd2 dim-1 norm-1,1.381826628190996,1.592388532639721,1.4771249099417347,-0.210561904448725,-0.0952982817507388,channel-3,bd2,dim-1,norm-1
1045,channel-4 bd2 dim-2 percentile-75,1.381176702875495,1.5788286857114586,1.4791971772539003,-0.1976519828359635,-0.0980204743784052,channel-4,bd2,dim-2,percentile-75
189,channel-0 bd2 dim-1 mean,1.3835513431557307,1.5614855380603103,1.4830219433508125,-0.1779341949045796,-0.0994706001950815,channel-0,bd2,dim-1,mean
