,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 349.5)","(350.5, 587.5)","(588.5, 1164.5)","(1166.5, 1534.5)","(1535.5, 1683.5)","(1684.5, 2232.5)","(2235.5, 2412.5)","(2413.5, 2729.5)","(2730.5, 2952.5)","(2953.5, 3016.5)"
"Time length, sec",341.0,237.0,576.0,368.0,148.0,548.0,177.0,316.0,222.0,63.0
Number of epochs,313,220,539,343,139,513,169,312,212,64
