,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 78.5)","(79.5, 320.5)","(321.5, 1110.5)","(1111.5, 1298.5)","(1300.5, 1370.5)","(1371.5, 1701.5)","(1702.5, 1934.5)","(1935.5, 2091.5)","(2092.5, 2173.5)","(2174.5, 2331.5)","(2332.5, 2699.5)"
"Time length, sec",73.0,241.0,789.0,187.0,70.0,330.0,232.0,156.0,81.0,157.0,367.0
Number of epochs,72,230,744,179,69,316,224,149,78,148,345
