,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 76.5)","(78.5, 219.5)","(220.5, 301.5)","(302.5, 767.5)","(768.5, 919.5)","(920.5, 993.5)","(994.5, 1059.5)","(1060.5, 1154.5)","(1155.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",68.0,141.0,81.0,465.0,151.0,73.0,65.0,94.0,83.0,65.0
Number of epochs,64,131,72,414,141,67,60,89,79,63
