,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 620.5)","(621.5, 1104.5)","(1105.5, 1318.5)","(1319.5, 1517.5)","(1518.5, 2071.5)","(2072.5, 2345.5)"
"Time length, sec",62.0,338.0,208.0,483.0,213.0,198.0,553.0,273.0
Number of epochs,54,294,180,409,175,177,482,246
