,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 99.5)","(100.5, 216.5)","(217.5, 301.5)","(302.5, 770.5)","(771.5, 927.5)","(928.5, 989.5)","(990.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",91.0,116.0,84.0,468.0,156.0,61.0,69.0,95.0,82.0,65.0
Number of epochs,86,106,75,417,145,56,64,90,78,63
