,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 237.5)","(238.5, 580.5)","(581.5, 762.5)","(763.5, 1170.5)","(1171.5, 1384.5)","(1386.5, 2044.5)","(2045.5, 2322.5)","(2323.5, 2345.5)"
"Time length, sec",227.0,342.0,181.0,407.0,213.0,658.0,277.0,22.0
Number of epochs,201,296,149,348,177,575,249,22
