,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 55.5)","(60.5, 415.5)","(416.5, 788.5)","(789.5, 942.5)","(943.5, 1053.5)","(1055.5, 1279.5)","(1280.5, 1531.5)"
"Time length, sec",50.0,355.0,372.0,153.0,110.0,224.0,251.0
Number of epochs,48,343,352,144,98,204,230
