Feature,IV,IVs
channel-0 landscape dim-1 max,0.27585562793122503,"[1.241705134477921, 0.07775002075250206, 0.1784399848606868, 0.053558379864362675, 0.09566120482841149, 0.09017893494506354, 0.1936957357896274]"
channel-0 landscape dim-1 mean,0.46116041522305895,"[1.961456871351082, 0.18633246642896964, 0.349931345607928, 0.08356482497625227, 0.11913310387382314, 0.20976662544492325, 0.3179376688784345]"
channel-0 landscape dim-1 std,0.43314568391774194,"[1.795672384618845, 0.14105960114229926, 0.3540336557969716, 0.06977725954785338, 0.17130919200494346, 0.1603364449711498, 0.33983124934213116]"
channel-0 landscape dim-1 sum,0.46116041522305895,"[1.961456871351082, 0.18633246642896964, 0.349931345607928, 0.08356482497625227, 0.11913310387382314, 0.20976662544492325, 0.3179376688784345]"
channel-0 landscape dim-1 norm-1,0.46116041522305895,"[1.961456871351082, 0.18633246642896964, 0.349931345607928, 0.08356482497625227, 0.11913310387382314, 0.20976662544492325, 0.3179376688784345]"
channel-0 landscape dim-1 norm-2,0.4437430790467814,"[1.8576295328887884, 0.1438537184995162, 0.3519434158069452, 0.06127289074958589, 0.17130919200494346, 0.16831652832000038, 0.35187627505768987]"
channel-0 landscape dim-2 max,0.2314311662788315,"[0.964801020601449, 0.16986277039466588, 0.046542638141299164, 0.035004590010434274, 0.15883041073105583, 0.09754363474322386, 0.14743309932969229]"
channel-0 landscape dim-2 mean,0.33963409986828,"[1.3113121604269158, 0.1921445360698845, 0.17262740247131736, 0.08616651316845608, 0.2156913965932773, 0.16092569865054981, 0.23857099169755955]"
channel-0 landscape dim-2 std,0.29444744128076517,"[1.17428032708477, 0.19475396353876626, 0.1313743142612997, 0.07946959148676139, 0.1411834287205348, 0.13505320135700916, 0.20501726251621516]"
channel-0 landscape dim-2 sum,0.33963409986828,"[1.3113121604269158, 0.1921445360698845, 0.17262740247131736, 0.08616651316845608, 0.2156913965932773, 0.16092569865054981, 0.23857099169755955]"
channel-0 landscape dim-2 norm-1,0.33963409986828,"[1.3113121604269158, 0.1921445360698845, 0.17262740247131736, 0.08616651316845608, 0.2156913965932773, 0.16092569865054981, 0.23857099169755955]"
channel-0 landscape dim-2 norm-2,0.29571870772788333,"[1.1536931051325183, 0.20011975668348506, 0.13045819762989574, 0.08713937907864863, 0.15490167691738602, 0.1414541753643097, 0.20226466328893974]"
channel-0 silhouette-1 dim-1 max,0.23383944716071542,"[1.0300598468579336, 0.05690840388905247, 0.2177112047005195, 0.04706905202489913, 0.09164074816961523, 0.07497877525071146, 0.11850809923227675]"
channel-0 silhouette-1 dim-1 mean,0.4708133085547005,"[2.0030273648160977, 0.17438263791551015, 0.32127232046548604, 0.05317507137589361, 0.13000802789009167, 0.17259255505878646, 0.4412351823610377]"
channel-0 silhouette-1 dim-1 std,0.35479124687867414,"[1.6735157822510502, 0.13816936305355984, 0.17591919217012195, 0.037349640424209914, 0.12386773709292273, 0.08313422613561074, 0.2515827870232435]"
channel-0 silhouette-1 dim-1 sum,0.4708133085547005,"[2.0030273648160977, 0.17438263791551015, 0.32127232046548604, 0.05317507137589361, 0.13000802789009167, 0.17259255505878646, 0.4412351823610377]"
channel-0 silhouette-1 dim-1 norm-1,0.4708133085547005,"[2.0030273648160977, 0.17438263791551015, 0.32127232046548604, 0.05317507137589361, 0.13000802789009167, 0.17259255505878646, 0.4412351823610377]"
channel-0 silhouette-1 dim-1 norm-2,0.3549347951922928,"[1.6669524187391294, 0.12571981655102243, 0.18411736631303907, 0.03257816860764993, 0.11669025715579913, 0.09113044046064282, 0.2673550985187665]"
channel-0 silhouette-1 dim-2 max,0.15461142058811775,"[0.5620568239179617, 0.0907246272653759, 0.07411710587976389, 0.03860068189201468, 0.11255164225560878, 0.09665364735039791, 0.10757541555570138]"
channel-0 silhouette-1 dim-2 mean,0.22808920151128304,"[0.863771302574363, 0.1683368768059634, 0.12834606905636034, 0.08914462362044547, 0.08687274990930621, 0.07550054363570799, 0.18465224497683505]"
channel-0 silhouette-1 dim-2 std,0.18401910247279196,"[0.5305804314235316, 0.14267962449855534, 0.15482374324899123, 0.05604787835922585, 0.1432472636702698, 0.10629102889034318, 0.15446374721862682]"
channel-0 silhouette-1 dim-2 sum,0.22808920151128304,"[0.863771302574363, 0.1683368768059634, 0.12834606905636034, 0.08914462362044547, 0.08687274990930621, 0.07550054363570799, 0.18465224497683505]"
channel-0 silhouette-1 dim-2 norm-1,0.22808920151128304,"[0.863771302574363, 0.1683368768059634, 0.12834606905636034, 0.08914462362044547, 0.08687274990930621, 0.07550054363570799, 0.18465224497683505]"
channel-0 silhouette-1 dim-2 norm-2,0.18328808294409843,"[0.5303129353182092, 0.14522871928264414, 0.13679526505900116, 0.07452525455503095, 0.1432472636702698, 0.0992211342627912, 0.15368600846074268]"
channel-0 silhouette-2 dim-1 max,0.18029297514803758,"[0.8139166365045758, 0.01319149190764063, 0.1254121945976768, 0.04394127832779938, 0.07397183644361072, 0.05168183346990488, 0.13993555478505476]"
channel-0 silhouette-2 dim-1 mean,0.3536694127785814,"[1.489046758273747, 0.09682934747869158, 0.24535516673643717, 0.03109974963400996, 0.10944994129851525, 0.1465024490723214, 0.3574024769563471]"
channel-0 silhouette-2 dim-1 std,0.27364701690182663,"[1.278246350204435, 0.04310078634925012, 0.13347924718823886, 0.04075652679853338, 0.1339280008844117, 0.07045520053493683, 0.21556300635298056]"
channel-0 silhouette-2 dim-1 sum,0.3536694127785814,"[1.489046758273747, 0.09682934747869158, 0.24535516673643717, 0.03109974963400996, 0.10944994129851525, 0.1465024490723214, 0.3574024769563471]"
channel-0 silhouette-2 dim-1 norm-1,0.3536694127785814,"[1.489046758273747, 0.09682934747869158, 0.24535516673643717, 0.03109974963400996, 0.10944994129851525, 0.1465024490723214, 0.3574024769563471]"
channel-0 silhouette-2 dim-1 norm-2,0.28115482966523225,"[1.2845238373817984, 0.052385423791534186, 0.14174875450328692, 0.039374185475087455, 0.15538701011357436, 0.08352813294483041, 0.2111364634465139]"
channel-0 silhouette-2 dim-2 max,0.148223247047516,"[0.5305804314235316, 0.07375052935691989, 0.05898287133444538, 0.04542365793413908, 0.07653254074810292, 0.09379436865158337, 0.15849832988388982]"
channel-0 silhouette-2 dim-2 mean,0.1724660550249685,"[0.5810793825951487, 0.12719993646376396, 0.08547888003012707, 0.045323379656224565, 0.08693358640106098, 0.09988486532909958, 0.1813623546993546]"
channel-0 silhouette-2 dim-2 std,0.1564055261981009,"[0.5352435003362896, 0.12409377486267584, 0.0706202860874014, 0.030813555463470838, 0.09791296427965931, 0.08049496276877968, 0.1556596395884295]"
channel-0 silhouette-2 dim-2 sum,0.1724660550249685,"[0.5810793825951487, 0.12719993646376396, 0.08547888003012707, 0.045323379656224565, 0.08693358640106098, 0.09988486532909958, 0.1813623546993546]"
channel-0 silhouette-2 dim-2 norm-1,0.1724660550249685,"[0.5810793825951487, 0.12719993646376396, 0.08547888003012707, 0.045323379656224565, 0.08693358640106098, 0.09988486532909958, 0.1813623546993546]"
channel-0 silhouette-2 dim-2 norm-2,0.15656685197282555,"[0.5186947401566734, 0.12017778075912634, 0.08086693566791257, 0.03074115214840131, 0.09573682784861341, 0.08109775278400544, 0.16865277444504626]"
channel-0 entropy dim-1,0.359117230566618,"[1.0747128875044978, 0.28561284285556754, 0.24190868676331465, 0.09886898603475748, 0.43620436890072545, 0.1397495223462654, 0.23676331956119723]"
