,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 672.5)","(675.5, 762.5)","(763.5, 1171.5)","(1172.5, 1323.5)","(1324.5, 1561.5)","(1562.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,234.0,87.0,408.0,151.0,237.0,482.0,300.0
Number of epochs,372,200,74,349,121,210,420,271
