,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 608.5)","(609.5, 1113.5)","(1114.5, 1333.5)","(1334.5, 1740.5)","(1741.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",62.0,338.0,196.0,504.0,219.0,406.0,360.0,243.0
Number of epochs,54,294,169,429,179,355,315,222
