num_features,explained_variances_reduced,explained_variances_all,fmi,silh_15,silh_reduced,silh_all
51,0.8079630605275071,0.38713548619853644,0.0,0.0,0.0,0.0
102,0.7308417277217625,0.4026175496861366,0.0,0.0,0.0,0.0
153,0.6722222459794885,0.4118263055737027,0.0,0.0,0.0,0.0
204,0.6580815044791114,0.4355560185386362,0.0,0.0,0.0,0.0
255,0.6421534789095957,0.4613449314045663,0.0,0.0,0.0,0.0
306,0.602984621263185,0.44524997496548235,0.0,0.0,0.0,0.0
357,0.5996453392129925,0.4664720087540439,0.0,0.0,0.0,0.0
408,0.5808010205239336,0.4664394790384011,0.7970888160807325,0.5833749771118164,0.18496773532412036,0.13327741747423508
459,0.5601111503696347,0.4670943802595563,0.0,0.0,0.0,0.0
510,0.5394731172618695,0.46039633983987416,0.8128786514532729,0.5711571574211121,0.16329016205896363,0.12806528172939044
561,0.5190735802983784,0.46574144228222925,0.777896549286147,0.5402860045433044,0.1533050417911289,0.12559474883081695
612,0.5277303279591825,0.4849347258725292,0.8593388235511674,0.5335485339164734,0.15851172414192963,0.1374810007701784
663,0.5081279990749629,0.48146708549044187,0.8257565801764238,0.5265099406242371,0.15025501077246567,0.13617594794890794
714,0.49850222872375194,0.48821883886327416,0.8528865421347349,0.5220476984977722,0.1445959381973077,0.1373026255025401
