index,name,score,mean,variance,unique_values,edges,min_stage_length
39,channel-0 amplitude-landscape-2-2 norm-2,0.1917506228477987,1.0076847857328352e-08,8.095343988783033e-17,1046,"[0, 50, 512, 556, 647, 1046]",44.0
40,channel-0 amplitude-silhouette-1-1 dim-1,0.2285495847869034,7.610864922907841e-12,2.884186684071113e-22,1046,"[0, 523, 557, 644, 659, 1046]",15.0
41,channel-0 amplitude-silhouette-1-1 dim-2,0.1115522281263332,3.019226416890372e-13,6.945711226757508e-25,1026,"[0, 406, 576, 682, 794, 1046]",106.0
42,channel-0 amplitude-silhouette-1-1 norm-1,0.2199440705328305,7.912787564596878e-12,2.8905578397251653e-22,1046,"[0, 523, 557, 644, 659, 1046]",15.0
43,channel-0 amplitude-silhouette-1-1 norm-2,0.2261379050224016,7.667307129171855e-12,2.8834132510514985e-22,1046,"[0, 523, 557, 644, 659, 1046]",15.0
44,channel-0 amplitude-silhouette-1-2 dim-1,0.1662955094105546,1.5937808216360957e-11,1.0179056885070993e-21,1046,"[0, 518, 556, 646, 659, 1046]",13.0
45,channel-0 amplitude-silhouette-1-2 dim-2,0.0993068756800563,4.046843202833688e-13,9.710664289733964e-25,1026,"[0, 392, 576, 682, 794, 1046]",106.0
46,channel-0 amplitude-silhouette-1-2 norm-1,0.2109311338700813,1.6342492536644324e-11,1.0181954112084302e-21,1046,"[0, 510, 556, 644, 659, 1046]",15.0
47,channel-0 amplitude-silhouette-1-2 norm-2,0.1648941189013064,1.5990481050582868e-11,1.0173573182312549e-21,1046,"[0, 517, 556, 646, 659, 1046]",13.0
48,channel-0 amplitude-silhouette-2-1 dim-1,0.2116314994167042,2.156728808302606e-09,1.2037640034983684e-17,1046,"[0, 519, 556, 644, 659, 1046]",15.0
49,channel-0 amplitude-silhouette-2-1 dim-2,0.046072704360819,2.0625195550422046e-10,1.653035418537652e-19,1026,"[0, 83, 392, 682, 794, 1046]",83.0
50,channel-0 amplitude-silhouette-2-1 norm-1,0.2046931360981215,2.3629807638068267e-09,1.2246276593254425e-17,1046,"[0, 460, 524, 556, 647, 1046]",32.0
51,channel-0 amplitude-silhouette-2-1 norm-2,0.2053133285640861,2.2010563417016624e-09,1.2052169435665649e-17,1046,"[0, 516, 556, 644, 659, 1046]",15.0
52,channel-0 amplitude-silhouette-2-2 dim-1,0.1930102752059654,4.642938678443539e-09,4.540493648139999e-17,1046,"[0, 510, 556, 646, 659, 1046]",13.0
53,channel-0 amplitude-silhouette-2-2 dim-2,0.0425580336106812,2.8880937378334576e-10,2.502269169518916e-19,1026,"[0, 83, 392, 682, 794, 1046]",83.0
54,channel-0 amplitude-silhouette-2-2 norm-1,0.1506407120352209,4.931748052226885e-09,4.565130818095243e-17,1046,"[0, 510, 556, 647, 697, 1046]",46.0
55,channel-0 amplitude-silhouette-2-2 norm-2,0.3422717973528731,4.687949982894241e-09,4.531825669186439e-17,1046,"[0, 556, 644, 647, 659, 1046]",3.0
56,channel-0 life all max,0.1958056130016955,8.649604462228458e-06,2.776343430028373e-11,1046,"[0, 50, 512, 556, 647, 1046]",44.0
57,channel-0 life all mean,0.0892931052570849,1.1793037136290368e-06,1.651537289083345e-13,1046,"[0, 75, 392, 645, 970, 1046]",75.0
58,channel-0 life all std,0.2225259204763762,1.5037241111684147e-06,8.479936426801476e-13,1046,"[0, 62, 460, 556, 647, 1046]",62.0
59,channel-0 life all sum,0.1511157941567504,7.933986281764113e-05,3.6716530187073196e-10,1046,"[0, 332, 681, 855, 954, 1046]",92.0
60,channel-0 life all norm-1,0.1511157941567504,7.933986281764113e-05,3.6716530187073196e-10,1046,"[0, 332, 681, 855, 954, 1046]",92.0
61,channel-0 life all norm-2,0.0851509234447672,1.5412334922452267e-05,3.254232921079205e-11,1046,"[0, 75, 392, 646, 958, 1046]",75.0
62,channel-0 life dim-1 max,0.1958056130016955,8.649604462228458e-06,2.776343430028373e-11,1046,"[0, 50, 512, 556, 647, 1046]",44.0
63,channel-0 life dim-1 mean,0.0262548804501396,1.269803339372964e-06,1.959800539091481e-13,1046,"[0, 93, 398, 646, 852, 1046]",93.0
64,channel-0 life dim-1 std,0.2287782656941116,1.5592799033407252e-06,9.390270084816676e-13,1046,"[0, 50, 398, 556, 647, 1046]",50.0
65,channel-0 life dim-1 sum,0.1873830763242159,7.572000393196657e-05,3.39308840235481e-10,1046,"[0, 332, 682, 855, 988, 1046]",58.0
66,channel-0 life dim-1 norm-1,0.1873830763242159,7.572000393196657e-05,3.39308840235481e-10,1046,"[0, 332, 682, 855, 988, 1046]",58.0
