index,name,score,mean,variance,unique_values,edges,min_stage_length
0,channel-0 betti dim-1 max,0.0432816606546298,11.104206500956025,26.13554209702968,31,"[0, 61, 245, 659, 952, 1046]",61.0
1,channel-0 betti dim-1 mean,-1.0,0.0,0.0,1,,
2,channel-0 betti dim-1 std,0.1045527223929352,1.7361668028746051,0.4065704829603596,376,"[0, 90, 550, 659, 957, 1046]",89.0
3,channel-0 betti dim-1 sum,-1.0,0.0,0.0,1,,
4,channel-0 betti dim-1 percentile-25,-1.0,0.0,0.0,1,,
5,channel-0 betti dim-1 median,-1.0,0.0,0.0,1,,
6,channel-0 betti dim-1 percentile-75,-1.0,0.0,0.0,1,,
7,channel-0 betti dim-1 kurtosis,0.0322124591844798,28.26317968661333,115.00345359501732,1036,"[0, 47, 296, 475, 790, 1046]",47.0
8,channel-0 betti dim-1 skew,0.0108993265356927,1.4803600920800848,4.238698340014055,1028,"[0, 190, 396, 583, 750, 1046]",167.0
9,channel-0 betti dim-1 norm-1,0.097005707045883,40.5736137667304,137.4467289377627,37,"[0, 86, 373, 555, 668, 1046]",86.0
10,channel-0 betti dim-1 norm-2,0.1045527223929351,17.274641575817974,40.25047781307573,376,"[0, 90, 550, 659, 957, 1046]",89.0
11,channel-0 betti dim-2 max,0.0761391813414686,1.6252390057361377,0.9924341533479278,8,"[0, 99, 522, 775, 951, 1046]",95.0
12,channel-0 betti dim-2 mean,-1.0,0.0,0.0,1,,
13,channel-0 betti dim-2 std,0.0539351128298645,0.3028268188881685,0.0211654871000303,39,"[0, 136, 482, 654, 775, 1046]",121.0
14,channel-0 betti dim-2 sum,-1.0,0.0,0.0,1,,
15,channel-0 betti dim-2 percentile-25,-1.0,0.0,0.0,1,,
16,channel-0 betti dim-2 median,-1.0,0.0,0.0,1,,
17,channel-0 betti dim-2 percentile-75,-1.0,0.0,0.0,1,,
18,channel-0 betti dim-2 kurtosis,0.0508510847062033,25.66661889231044,166.24713348585564,100,"[0, 82, 533, 693, 923, 1046]",82.0
