,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 118.7)","(119.5, 198.7)","(199.5, 297.1)","(297.9, 508.3)","(509.1, 620.3)","(621.1, 717.1)","(719.5, 769.9)","(770.7, 877.1)","(877.9, 938.7)"
"Time length, sec",108.8,79.19999999999999,97.60000000000002,210.40000000000003,111.19999999999993,96.0,50.39999999999998,106.39999999999998,60.80000000000007
Number of epochs,124,86,109,237,126,113,60,121,70
