,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(5.5, 582.5)","(583.5, 877.5)","(878.5, 1039.5)","(1040.5, 1214.5)","(1215.5, 1626.5)","(1627.5, 1915.5)","(1916.5, 2113.5)","(2114.5, 2722.5)","(2723.5, 2982.5)","(2983.5, 3302.5)","(3303.5, 3486.5)","(3487.5, 3562.5)"
"Time length, sec",577.0,294.0,161.0,174.0,411.0,288.0,197.0,608.0,259.0,319.0,183.0,75.0
Number of epochs,545,279,154,171,385,278,178,575,238,300,175,75
