,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 171.5)","(172.5, 311.5)","(312.5, 750.5)","(751.5, 976.5)","(977.5, 1375.5)","(1376.5, 1446.5)","(1447.5, 1772.5)","(1774.5, 2348.5)"
"Time length, sec",161.0,139.0,438.0,225.0,398.0,70.0,325.0,574.0
Number of epochs,143,119,373,189,339,63,280,513
