,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 244.5)","(245.5, 770.5)","(771.5, 927.5)","(928.5, 989.5)","(990.5, 1059.5)","(1060.5, 1112.5)","(1113.5, 1178.5)","(1179.5, 1220.5)","(1221.5, 1304.5)"
"Time length, sec",53.0,182.0,525.0,156.0,61.0,69.0,52.0,65.0,41.0,83.0
Number of epochs,52,165,467,145,56,64,50,59,41,81
