,0,1,2,3,4,5,6
"Start-end time, sec","(11.5, 79.5)","(80.5, 195.5)","(196.5, 515.5)","(516.5, 620.5)","(621.5, 758.5)","(759.5, 876.5)","(877.5, 976.5)"
"Time length, sec",68.0,115.0,319.0,104.0,137.0,117.0,99.0
Number of epochs,69,109,310,100,130,111,93
