,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 88.5)","(89.5, 174.5)","(175.5, 220.5)","(221.5, 285.5)","(286.5, 763.5)","(765.5, 943.5)","(944.5, 1055.5)","(1056.5, 1172.5)","(1173.5, 1239.5)","(1240.5, 1304.5)"
"Time length, sec",80.0,85.0,45.0,64.0,477.0,178.0,111.0,116.0,66.0,64.0
Number of epochs,75,80,41,55,427,167,102,105,66,62
