,scale,n_clusters_min,n_clusters_max,k_neighbours_min,k_neighbours_max,len_st_thr,n_cl_max_thr,k_neighb_max_thr,n_edge_clusters_min,n_edge_clusters_max,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,time,AMI,ARI,FMI
0,False,2,2,20,25,[0],[2],[25],8,8,0,25,2,9,Median,"[0, 167, 246, 304, 1046]",125.45407843162661,1.663242220878601,0.05576444789767265,400.2769599683247,1.6831528711038533,0.1932736486196518,68.80805480298577,1.5299758320307688,2.2127983570098877,0.399592432553357,0.10329947418615579,0.37614369378967333
1,False,2,2,20,30,[0],[2],[30],8,8,0,30,2,9,Median,"[0, 167, 210, 246, 304, 1046]",70.61684038160377,1.39756678044796,0.03665739670395851,302.09252039656997,1.9428147207358062,0.16908736526966095,35.69391722526707,1.6623112717651263,1.6365444660186768,0.39081839049401357,0.09445310432737786,0.36694428229371717
2,False,2,2,20,35,[0],[2],[35],8,8,0,35,2,9,Median,"[0, 167, 210, 246, 304, 1046]",70.61684038160377,1.39756678044796,0.03665739670395851,302.09252039656997,1.9428147207358062,0.16908736526966095,35.69391722526707,1.6623112717651263,0.6859557628631592,0.39081839049401357,0.09445310432737786,0.36694428229371717
3,False,2,2,20,40,[0],[2],[40],8,8,0,40,2,9,Median,"[0, 167, 169, 210, 246, 304, 1046]",44.18289951621094,1.3879018783569337,0.0262749120593071,241.6283926513715,2.8474928729269777,0.16990235447883606,19.893033575479574,1.6868184842611609,0.8914082050323486,0.3886437653765391,0.09398260248132591,0.3664556879151489
4,False,2,2,20,45,[0],[2],[45],8,8,0,45,2,9,Median,"[0, 167, 169, 210, 246, 304, 1046]",44.18289951621094,1.3879018783569337,0.0262749120593071,241.6283926513715,2.8474928729269777,0.16990235447883606,19.893033575479574,1.6868184842611609,1.0647485256195068,0.3886437653765391,0.09398260248132591,0.3664556879151489
5,False,2,2,20,50,[0],[2],[50],8,8,0,50,2,9,Median,"[0, 167, 169, 210, 246, 304, 1046]",44.18289951621094,1.3879018783569337,0.0262749120593071,241.6283926513715,2.8474928729269777,0.16990235447883606,19.893033575479574,1.6868184842611609,1.2239480018615723,0.3886437653765391,0.09398260248132591,0.3664556879151489
6,False,2,5,20,20,[0],[5],[20],8,8,0,20,5,9,Median,"[0, 246, 304, 556, 681, 842, 1046]",448.13662831422306,2.379776930809021,0.09973260015249252,418.45326116633356,2.3953081106415213,0.3282491862773895,236.25741201763464,1.4448238319513316,0.24593806266784668,0.7876350694907175,0.6646541799505735,0.727104030713402
7,False,2,5,20,25,[0],[5],[25],8,8,0,25,5,9,Median,"[0, 92, 167, 246, 304, 509, 554, 681, 842, 1046]",193.65439707152328,1.6369773745536804,0.0061599756591022015,300.6369725080372,2.883023282896664,0.23725731670856476,107.67206287033723,1.8284802278840677,0.749154806137085,0.7720585572356199,0.6086331426529638,0.6639903665939272
8,False,2,5,20,30,[0],[5],[30],8,8,0,30,5,9,Median,"[0, 167, 246, 304, 509, 554, 681, 842, 976, 1046]",243.79177168440697,1.9154825061559677,0.04448806494474411,332.9124778224834,4.359574100084641,0.27682220935821533,131.11243370957,1.6388068262956967,1.163024663925171,0.8174239744712468,0.6831784082770371,0.7276832524965292
9,False,2,5,20,35,[0],[5],[35],8,8,0,35,5,9,Median,"[0, 101, 167, 246, 304, 554, 681, 842, 976, 1046]",301.6096245343408,1.9679312631487846,0.023073330521583557,340.9630686931006,4.231685806857916,0.2822219431400299,162.07416275846867,1.5066090675271984,1.708958387374878,0.7913179212943158,0.6179856106917762,0.6720475696189541
