,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(5.5, 225.5)","(226.5, 279.5)","(280.5, 379.5)","(380.5, 524.5)","(525.5, 988.5)","(990.5, 1329.5)","(1330.5, 1467.5)","(1475.5, 1619.5)","(1620.5, 1946.5)","(1947.5, 2020.5)"
"Time length, sec",220.0,53.0,99.0,144.0,463.0,339.0,137.0,144.0,326.0,73.0
Number of epochs,205,53,95,131,432,317,127,143,303,69
