,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 296.5)","(298.5, 647.5)","(648.5, 757.5)","(758.5, 1176.5)","(1177.5, 1398.5)","(1399.5, 1854.5)","(1855.5, 2124.5)","(2125.5, 2345.5)"
"Time length, sec",286.0,349.0,109.0,418.0,221.0,455.0,269.0,220.0
Number of epochs,249,300,92,359,183,391,241,202
