,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 641.5)","(642.5, 732.5)","(733.5, 1170.5)","(1171.5, 1333.5)","(1334.5, 1502.5)","(1503.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,203.0,90.0,437.0,162.0,168.0,541.0,300.0
Number of epochs,372,173,75,374,131,150,471,271
