,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 107.5)","(108.5, 216.5)","(217.5, 517.5)","(518.5, 576.5)","(578.5, 787.5)","(788.5, 927.5)","(928.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",99.0,108.0,300.0,58.0,209.0,139.0,131.0,95.0,82.0,65.0
Number of epochs,94,98,267,47,193,130,120,90,78,63
