,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 76.5)","(78.5, 147.5)","(149.5, 219.5)","(220.5, 304.5)","(305.5, 769.5)","(770.5, 944.5)","(945.5, 1059.5)","(1060.5, 1154.5)","(1155.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",68.0,69.0,70.0,84.0,464.0,174.0,114.0,94.0,83.0,65.0
Number of epochs,64,68,63,75,413,163,103,89,79,63
