,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 171.5)","(172.5, 534.5)","(535.5, 823.5)","(824.5, 1205.5)","(1206.5, 1552.5)","(1553.5, 1663.5)","(1664.5, 2110.5)","(2111.5, 2345.5)"
"Time length, sec",161.0,362.0,288.0,381.0,346.0,110.0,446.0,234.0
Number of epochs,143,313,241,329,292,99,386,214
