,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 107.5)","(108.5, 371.5)","(372.5, 692.5)","(693.5, 1071.5)","(1072.5, 1329.5)","(1330.5, 1804.5)","(1805.5, 2005.5)","(2006.5, 2305.5)","(2306.5, 2729.5)","(2730.5, 3016.5)"
"Time length, sec",99.0,263.0,320.0,378.0,257.0,474.0,200.0,299.0,423.0,286.0
Number of epochs,93,241,295,362,237,441,183,285,411,276
