,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 103.5)","(104.5, 211.5)","(212.5, 602.5)","(603.5, 893.5)","(894.5, 1148.5)","(1149.5, 1194.5)","(1195.5, 1755.5)"
"Time length, sec",98.0,107.0,390.0,290.0,254.0,45.0,560.0
Number of epochs,97,105,364,279,239,43,515
