name,score,mean,variance,unique_values,normalized_score
channel-0 betti dim-1 max,0.23874420837413868,-2.4688349293359414e-16,0.9999999999999998,20,0.04212443737173585
channel-0 betti dim-1 mean,0.0,0.0,0.0,1,0.0
channel-0 betti dim-1 std,0.11212136612813114,-3.0709897901495855e-16,0.9999999999999998,285,0.019782886033810645
channel-0 betti dim-1 sum,0.0,0.0,0.0,1,0.0
channel-0 betti dim-1 percentile-25,1.726271186440678,0.0,1.0,2,0.30458624724372363
channel-0 betti dim-1 median,0.0,0.0,0.0,1,0.0
channel-0 betti dim-1 percentile-75,0.0,0.0,0.0,1,0.0
channel-0 betti dim-1 kurtosis,0.5081762358444106,6.021548608136442e-17,1.0,1175,0.08966348614868079
channel-0 betti dim-1 skew,0.16309741009729153,-2.1075420128477548e-17,1.0,1164,0.028777186612916773
channel-0 betti dim-1 norm-1,0.35273164003791563,-9.483939057814896e-17,1.0,35,0.062236575207394104
channel-0 betti dim-1 norm-2,0.11212136612813117,-3.3118517344750433e-16,1.0,285,0.019782886033810648
channel-0 betti dim-2 max,0.4310347659611967,-6.322626038543265e-17,1.0,10,0.07605251296952538
channel-0 betti dim-2 mean,0.0,0.0,0.0,1,0.0
channel-0 betti dim-2 std,0.15360626878351524,4.245191768736192e-16,1.0,70,0.02710255337016217
channel-0 betti dim-2 sum,0.0,0.0,0.0,1,0.0
channel-0 betti dim-2 percentile-25,0.0,0.0,0.0,1,0.0
channel-0 betti dim-2 median,0.0,0.0,0.0,1,0.0
channel-0 betti dim-2 percentile-75,0.0,0.0,0.0,1,0.0
channel-0 betti dim-2 kurtosis,0.21467151574560434,1.2043097216272884e-17,1.0,463,0.037877010219867044
channel-0 betti dim-2 skew,0.06674949680638098,-6.774242184153498e-18,1.0,493,0.011777395635955696
channel-0 betti dim-2 norm-1,0.350671453389943,-7.828013190577375e-17,0.9999999999999997,20,0.06187307234373256
channel-0 betti dim-2 norm-2,0.1536062687835153,-5.216166481798193e-16,1.0,70,0.02710255337016218
channel-0 landscape dim-1 max,0.22518203421810745,1.3247406937900174e-16,1.0,1180,0.03973150411588479
channel-0 landscape dim-1 mean,0.17532096383808538,6.021548608136442e-18,0.9999999999999998,1180,0.030933931388091366
channel-0 landscape dim-1 std,0.3125784522684354,6.021548608136442e-17,1.0,1180,0.05515187792828625
channel-0 landscape dim-1 sum,0.17532096383808343,0.0,1.0,1180,0.030933931388091022
channel-0 landscape dim-1 percentile-25,0.0,0.0,0.0,1,0.0
channel-0 landscape dim-1 median,3.2670562848540876,3.010774304068221e-18,1.0,4,0.5764450111627489
channel-0 landscape dim-1 percentile-75,0.6318199682831731,6.021548608136442e-18,0.9999999999999998,500,0.11147939824553944
channel-0 landscape dim-1 kurtosis,0.4853566725810843,6.623703468950087e-17,1.0,1180,0.08563716329007577
channel-0 landscape dim-1 skew,0.22829303123298014,-3.13120527623095e-16,1.0,1180,0.040280413761941185
channel-0 landscape dim-1 norm-1,0.17532096383808343,0.0,1.0,1180,0.030933931388091022
channel-0 landscape dim-1 norm-2,0.31164570062526764,-2.1677574989291193e-16,1.0,1180,0.05498730162947849
channel-0 landscape dim-2 max,0.3339567796879409,1.9720571691646848e-16,1.0,1180,0.05892390666409609
channel-0 landscape dim-2 mean,0.4200574482052715,-1.5957103811561572e-16,1.0,1180,0.07411565620777114
channel-0 landscape dim-2 std,0.5464483147049997,-5.419393747322798e-17,1.0000000000000004,1180,0.09641627734737884
channel-0 landscape dim-2 sum,0.4200574482052715,-6.322626038543265e-17,1.0,1180,0.07411565620777114
channel-0 landscape dim-2 percentile-25,0.0,0.0,0.0,1,0.0
channel-0 landscape dim-2 median,0.0,0.0,0.0,1,0.0
channel-0 landscape dim-2 percentile-75,2.9563347115611016,-7.526935760170553e-18,1.0000000000000002,15,0.521620764143882
channel-0 landscape dim-2 kurtosis,0.7951703517404431,2.890343331905492e-16,1.0000000000000002,1180,0.1403012199117281
channel-0 landscape dim-2 skew,0.6079671536749927,-5.72047117772962e-16,1.0,1180,0.10727076674848837
channel-0 landscape dim-2 norm-1,0.4200574482052715,-6.322626038543265e-17,1.0,1180,0.07411565620777114
channel-0 landscape dim-2 norm-2,0.4495752373371986,-7.828013190577375e-17,1.0,1180,0.07932382552047501
channel-0 silhouette-1 dim-1 max,0.5043499167070766,1.0086093918628541e-16,0.9999999999999998,1180,0.08898836384115946
channel-0 silhouette-1 dim-1 mean,0.13088443305669786,7.22585832976373e-17,1.0,1180,0.023093473725619602
channel-0 silhouette-1 dim-1 std,0.5503987245188638,2.5892659014986703e-16,1.0,1180,0.09711329442657865
channel-0 silhouette-1 dim-1 sum,0.13088443305669745,-1.866680068522297e-16,1.0,1180,0.02309347372561953
channel-0 silhouette-1 dim-1 percentile-25,0.0,0.0,0.0,1,0.0
channel-0 silhouette-1 dim-1 median,3.2783335963077467,3.010774304068221e-18,1.0000000000000002,4,0.5784347993267691
channel-0 silhouette-1 dim-1 percentile-75,0.5220855211928319,3.612929164881865e-17,1.0000000000000002,500,0.0921176642983219
channel-0 silhouette-1 dim-1 kurtosis,0.7171313495746695,1.565602638115475e-16,1.0,1180,0.12653188459812229
channel-0 silhouette-1 dim-1 skew,0.49944779368856984,-6.563487982868722e-16,1.0,1180,0.08812342485274209
channel-0 silhouette-1 dim-1 norm-1,0.13088443305669745,-1.866680068522297e-16,1.0,1180,0.02309347372561953
channel-0 silhouette-1 dim-1 norm-2,0.37806072758247683,6.623703468950087e-17,1.0,1180,0.06670568283191088
channel-0 silhouette-1 dim-2 max,0.8259532503743778,8.129090620984197e-17,1.0,1180,0.14573260731356857
channel-0 silhouette-1 dim-2 mean,0.7705273481707007,1.2193635931476296e-16,0.9999999999999997,1180,0.13595316611978728
channel-0 silhouette-1 dim-2 std,0.8027734560435185,2.258080728051166e-17,0.9999999999999998,1180,0.1416427246679137
channel-0 silhouette-1 dim-2 sum,0.7705273481707007,8.430168051391019e-17,1.0,1180,0.13595316611978728
channel-0 silhouette-1 dim-2 percentile-25,0.0,0.0,0.0,1,0.0
channel-0 silhouette-1 dim-2 median,0.0,0.0,0.0,1,0.0
channel-0 silhouette-1 dim-2 percentile-75,1.5654100184779027,4.516161456102331e-18,0.9999999999999997,15,0.2762036270263018
channel-0 silhouette-1 dim-2 kurtosis,0.6472961426010522,2.6494813875800347e-16,0.9999999999999998,1180,0.11421004097085291
channel-0 silhouette-1 dim-2 skew,0.5394363169893988,-5.750578920770302e-16,1.0,1180,0.09517906845073958
channel-0 silhouette-1 dim-2 norm-1,0.7705273481707007,8.430168051391019e-17,1.0,1180,0.13595316611978728
channel-0 silhouette-1 dim-2 norm-2,0.8065363118558486,-7.828013190577375e-17,0.9999999999999998,1180,0.14230664939758492
channel-0 silhouette-2 dim-1 max,0.3141127845397926,1.5354948950747927e-16,0.9999999999999998,1180,0.05542259814433828
channel-0 silhouette-2 dim-1 mean,0.3796959811214831,-2.529050415417306e-16,1.0,1180,0.0669942097694223
channel-0 silhouette-2 dim-1 std,0.39639147026708366,-8.430168051391019e-17,1.0000000000000002,1180,0.06993999049304185
channel-0 silhouette-2 dim-1 sum,0.37969598112148395,-1.3247406937900174e-16,0.9999999999999998,1180,0.06699420976942244
channel-0 silhouette-2 dim-1 percentile-25,0.0,0.0,0.0,1,0.0
channel-0 silhouette-2 dim-1 median,3.28321801862651,-3.010774304068221e-18,1.0000000000000002,4,0.5792966151733818
channel-0 silhouette-2 dim-1 percentile-75,1.4457001447679032,3.3118517344750434e-17,1.0,500,0.2550818117068165
channel-0 silhouette-2 dim-1 kurtosis,0.6745853682045879,3.612929164881865e-17,1.0,1180,0.11902499871448893
channel-0 silhouette-2 dim-1 skew,0.47852909422487244,-3.6731446509632296e-16,1.0000000000000002,1180,0.08443249366133172
channel-0 silhouette-2 dim-1 norm-1,0.37969598112148395,-1.3247406937900174e-16,0.9999999999999998,1180,0.06699420976942244
channel-0 silhouette-2 dim-1 norm-2,0.4376145694272362,-2.1075420128477548e-16,1.0,1180,0.07721346477192116
channel-0 silhouette-2 dim-2 max,0.681213427220877,-2.5215234796571354e-16,1.0,1180,0.12019446480888857
channel-0 silhouette-2 dim-2 mean,0.7432070972929139,-1.5053871520341105e-18,0.9999999999999998,1180,0.13113273422358007
channel-0 silhouette-2 dim-2 std,0.8412497408024264,9.483939057814896e-17,1.0,1180,0.1484315463053531
channel-0 silhouette-2 dim-2 sum,0.7432070972929143,-4.516161456102331e-18,0.9999999999999998,1180,0.13113273422358016
channel-0 silhouette-2 dim-2 percentile-25,0.0,0.0,0.0,1,0.0
channel-0 silhouette-2 dim-2 median,0.0,0.0,0.0,1,0.0
channel-0 silhouette-2 dim-2 percentile-75,1.6471940382663217,-1.5053871520341106e-17,1.0000000000000002,15,0.29063373966881334
channel-0 silhouette-2 dim-2 kurtosis,0.6965779958518079,6.021548608136442e-17,1.0,1180,0.12290541563548671
channel-0 silhouette-2 dim-2 skew,0.5750218949250675,6.503272496787358e-16,1.0,1180,0.10145784882114742
channel-0 silhouette-2 dim-2 norm-1,0.7432070972929143,-4.516161456102331e-18,0.9999999999999998,1180,0.13113273422358016
channel-0 silhouette-2 dim-2 norm-2,0.49305059956720054,-6.322626038543265e-17,1.0,1180,0.08699469295614189
channel-0 entropy dim-1,0.12170712843901468,2.7187291965736036e-15,1.0,1180,0.021474214367490547
channel-0 entropy dim-2,0.08030395016879241,-5.569932462526209e-17,0.9999999999999998,1180,0.01416896662174579
channel-0 numberofpoints dim-1,0.15381908428844315,7.406504788007824e-16,1.0,57,0.027140102902651862
channel-0 numberofpoints dim-2,0.2870088378367831,8.204359978585903e-17,1.0,43,0.05064033132750913
channel-0 amplitude-bottleneck dim-1,0.13674105609689202,1.0236632633831952e-16,1.0000000000000002,1178,0.024126826334030974
channel-0 amplitude-bottleneck dim-2,0.3442770271610112,1.6258181241968394e-16,1.0,1180,0.06074482881881863
channel-0 amplitude-bottleneck norm-1,0.3042911824557789,2.709696873661399e-16,1.0,1180,0.05368965783681977
