,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 109.9)","(110.7, 198.7)","(199.5, 449.9)","(450.7, 508.3)","(509.1, 620.3)","(621.1, 713.9)","(714.7, 769.9)","(770.7, 877.1)","(877.9, 938.7)"
"Time length, sec",100.0,87.99999999999999,250.39999999999998,57.60000000000002,111.19999999999993,92.79999999999995,55.19999999999993,106.39999999999998,60.80000000000007
Number of epochs,113,97,276,70,126,109,64,121,70
