,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 232.5)","(233.5, 411.5)","(412.5, 593.5)","(596.5, 919.5)","(921.5, 996.5)","(997.5, 1315.5)","(1316.5, 1811.5)","(1812.5, 2345.5)"
"Time length, sec",222.0,178.0,181.0,323.0,75.0,318.0,495.0,533.0
Number of epochs,197,151,159,269,67,266,429,479
