name,score,mean,variance,unique_values,normalized_score
channel-0 landscape dim-1 max,1.4328295936559683,2.714265814258886e-16,1.0,1911,0.24662436973266477
channel-0 landscape dim-1 mean,3.2034774588627664,-4.461806817959813e-17,1.0000000000000002,1911,0.5718056208377433
channel-0 landscape dim-1 std,1.9043524572561257,1.4129054923539408e-16,1.0000000000000002,1911,0.3332200151588888
channel-0 landscape dim-1 sum,3.203477458862766,2.0821765150479126e-16,1.0,1911,0.5718056208377433
channel-0 landscape dim-1 norm-1,3.203477458862766,2.0821765150479126e-16,1.0,1911,0.5718056208377433
channel-0 landscape dim-1 norm-2,1.7087111075515622,-2.9745378786398754e-17,0.9999999999999998,1911,0.29729028564297183
channel-0 landscape dim-2 max,1.4543424766912885,3.718172348299844e-17,1.0000000000000002,1697,0.25057523221512995
channel-0 landscape dim-2 mean,1.8902276347703517,-2.9745378786398754e-17,1.0000000000000002,1697,0.33062597738445837
channel-0 landscape dim-2 std,1.9280576541411882,1.0410882575239563e-16,1.0,1697,0.3375734982721879
channel-0 landscape dim-2 sum,1.8902276347703517,-1.859086174149922e-16,0.9999999999999998,1697,0.33062597738445837
channel-0 landscape dim-2 norm-1,1.8902276347703517,-1.859086174149922e-16,0.9999999999999998,1697,0.33062597738445837
channel-0 landscape dim-2 norm-2,1.9352444722866007,1.115451704489953e-16,1.0,1697,0.3388933646114597
channel-0 silhouette-1 dim-1 max,2.2617073177191855,-2.9745378786398754e-17,1.0,1911,0.39884859264020905
channel-0 silhouette-1 dim-1 mean,2.8029443056000356,-4.461806817959813e-17,1.0000000000000002,1911,0.4982473067051785
channel-0 silhouette-1 dim-1 std,2.56239298393931,4.461806817959813e-17,0.9999999999999998,1911,0.4540698159292364
channel-0 silhouette-1 dim-1 sum,2.802944305600035,1.4872689393199377e-17,1.0000000000000002,1911,0.4982473067051784
channel-0 silhouette-1 dim-1 norm-1,2.802944305600035,1.4872689393199377e-17,1.0000000000000002,1911,0.4982473067051784
channel-0 silhouette-1 dim-1 norm-2,2.577533661396683,-3.718172348299844e-17,1.0,1911,0.4568504164850629
channel-0 silhouette-1 dim-2 max,1.3069291858317487,2.9745378786398754e-17,1.0,1698,0.2235026339344868
channel-0 silhouette-1 dim-2 mean,1.352173931456373,-1.5616323862859346e-16,1.0,1698,0.23181187671350095
channel-0 silhouette-1 dim-2 std,1.619798213382972,4.461806817959813e-17,0.9999999999999998,1698,0.28096134371541426
channel-0 silhouette-1 dim-2 sum,1.3521739314563739,-1.4872689393199377e-17,0.9999999999999999,1698,0.2318118767135011
channel-0 silhouette-1 dim-2 norm-1,1.3521739314563739,-1.4872689393199377e-17,0.9999999999999999,1698,0.2318118767135011
channel-0 silhouette-1 dim-2 norm-2,1.2587646865107327,-3.3463551134698593e-17,1.0000000000000002,1698,0.2146571754693569
channel-0 silhouette-2 dim-1 max,1.9492161474125649,7.436344696599688e-18,1.0000000000000002,1911,0.3414592767201127
channel-0 silhouette-2 dim-1 mean,2.353564217177917,-2.9745378786398754e-17,1.0000000000000002,1911,0.4157182040833263
channel-0 silhouette-2 dim-1 std,2.098336695130943,3.718172348299844e-18,0.9999999999999999,1911,0.3688454144301499
channel-0 silhouette-2 dim-1 sum,2.353564217177917,-2.2309034089799065e-17,1.0000000000000002,1911,0.4157182040833263
channel-0 silhouette-2 dim-1 norm-1,2.353564217177917,-2.2309034089799065e-17,1.0000000000000002,1911,0.4157182040833263
channel-0 silhouette-2 dim-1 norm-2,2.138953696295599,3.718172348299844e-18,0.9999999999999998,1911,0.37630476731131507
channel-0 silhouette-2 dim-2 max,1.2494485650147509,0.0,1.0000000000000002,1698,0.21294626044043527
channel-0 silhouette-2 dim-2 mean,1.3132366698316347,0.0,1.0,1698,0.22466100967859257
channel-0 silhouette-2 dim-2 std,1.1621044251974773,-1.264178598421947e-16,1.0,1698,0.19690542181826196
channel-0 silhouette-2 dim-2 sum,1.3132366698316345,-1.0410882575239563e-16,1.0000000000000002,1698,0.22466100967859254
channel-0 silhouette-2 dim-2 norm-1,1.3132366698316345,-1.0410882575239563e-16,1.0000000000000002,1698,0.22466100967859254
channel-0 silhouette-2 dim-2 norm-2,1.1651099279038557,-2.2309034089799065e-17,1.0,1698,0.19745738539581142
channel-0 entropy dim-1,1.3432628668096127,1.6583048673417305e-15,0.9999999999999999,1911,0.23017535077999846
channel-0 entropy dim-2,0.846587247469039,-6.023439204245747e-16,1.0000000000000002,1910,0.13896037660912092
channel-0 amplitude-bottleneck dim-1,1.419694099287936,-1.1526334279729516e-16,1.0,1911,0.24421202305639234
