,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 237.5)","(238.5, 411.5)","(412.5, 608.5)","(609.5, 996.5)","(997.5, 1261.5)","(1262.5, 1398.5)","(1399.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",227.0,173.0,196.0,387.0,264.0,136.0,702.0,243.0
Number of epochs,201,147,169,326,224,116,612,222
