,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,0,35,10,Median,40,[   0   71 1880 1922],3,1809,42,640.6666666666666,80080.17365296026,38.175553607162556,0.38621575662592433,111.18478907159837,1.714002673970417,0.4632680016992736,122.88744103462639,1.514388724065956,0.8244390869957239,0.8941049621295092,0.9870156322208747
1,0,35,10,Mode,40,[   0   71 1880 1922],3,1809,42,640.6666666666666,80080.17365296026,38.175553607162556,0.38621575662592433,111.18478907159837,1.714002673970417,0.4632680016992736,122.88744103462639,1.514388724065956,0.8244390869957239,0.8941049621295092,0.9870156322208747
2,0,35,10,Median,40,[   0   71 1270 1880 1922],4,1199,42,480.5,87316.64893194837,30.84423380250406,0.16200192350036657,131.55203820616774,2.0458597120415503,0.373246232842743,148.73252916233864,1.7978763399354385,0.9499642101424927,0.9807730476314106,0.9901778331301975
3,0,35,10,Mode,40,[   0   71 1270 1880 1922],4,1199,42,480.5,87316.64893194837,30.84423380250406,0.16200192350036657,131.55203820616774,2.0458597120415503,0.373246232842743,148.73252916233864,1.7978763399354385,0.9499642101424927,0.9807730476314106,0.9901778331301975
4,0,35,10,Median,40,[   0   71  811 1272 1880 1922],5,740,42,384.4,71861.12072471277,26.79294648251848,0.07432290148748939,116.21825932000188,2.3246173059965924,0.30929873585592216,126.05195879168339,1.960103303239548,0.9582176819992102,0.9760564514000091,0.9833962374120727
5,0,35,10,Mode,40,[   0   71  791 1270 1880 1922],5,720,42,384.4,73093.36717771084,26.864637529796006,0.07711541459169916,117.62235295644331,2.284753667391369,0.3115124163607559,129.0697365175105,1.9341170517157384,0.9355121841973199,0.9546024687730351,0.9683538541301036
6,0,35,10,Median,40,[   0   71  791 1272 1880 1922],5,720,42,384.4,72983.88424372421,26.86621574127333,0.07824769073103306,117.39878659275588,2.291798856619025,0.3122332535981773,128.64560450724554,1.9406740326718757,0.9302277674749766,0.9518967145672885,0.9664608040202567
7,0,35,10,Mode,40,[   0   71  791 1270 1880 1922],5,720,42,384.4,73093.36717771084,26.864637529796006,0.07711541459169916,117.62235295644331,2.284753667391369,0.3115124163607559,129.0697365175105,1.9341170517157384,0.9355121841973199,0.9546024687730351,0.9683538541301036
8,0,35,10,Median,40,[   0   71  791 1272 1880 1922],5,720,42,384.4,72983.88424372421,26.86621574127333,0.07824769073103306,117.39878659275588,2.291798856619025,0.3122332535981773,128.64560450724554,1.9406740326718757,0.9302277674749766,0.9518967145672885,0.9664608040202567
9,0,35,10,Mode,40,[   0   71  791 1270 1880 1922],5,720,42,384.4,73093.36717771084,26.864637529796006,0.07711541459169916,117.62235295644331,2.284753667391369,0.3115124163607559,129.0697365175105,1.9341170517157384,0.9355121841973199,0.9546024687730351,0.9683538541301036
10,0,35,10,Median,40,[   0   71  753 1272 1880 1922],5,682,42,384.4,74511.10056257904,26.911161845323733,0.07859170525933537,119.01846724523537,2.26104005297913,0.3138556764951577,133.44407008736502,1.9251932209185625,0.9334565894497725,0.9546358640820118,0.9681776589895236
11,0,35,10,Mode,40,[   0   71  753 1270 1880 1922],5,682,42,384.4,74656.20368816232,26.91161661628339,0.07773456675892947,119.27786257363965,2.254413278150579,0.3132936976121386,133.96078595125493,1.918926284671712,0.93874358132377,0.9574617147065678,0.9701661366071739
12,0,35,10,Median,40,[   0   71  758 1272 1880 1922],5,687,42,384.4,74551.7716465478,26.936301508436088,0.07936850347891437,119.14706325407313,2.25502951938621,0.31377676099814444,133.12200457360606,1.919600926659457,0.941170100130228,0.9622058683374378,0.9735104982538837
13,0,35,10,Mode,40,[   0   71  791 1270 1880 1922],5,720,42,384.4,73093.36717771084,26.864637529796006,0.07711541459169916,117.62235295644331,2.284753667391369,0.3115124163607559,129.0697365175105,1.9341170517157384,0.9355121841973199,0.9546024687730351,0.9683538541301036
14,0,35,10,Median,40,[   0   71  541  758 1272 1706 1880 1922],7,514,42,274.57142857142856,46237.41215735275,20.50892759941652,0.039498407771536265,87.55016711861413,3.083444007484555,0.21838133262178663,80.57301748603713,2.5500942547532404,0.9318446800894118,0.9513938188682485,0.9613350565713571
15,0,35,10,Mode,40,[   0   71  541  791 1270 1706 1880 1922],7,479,42,274.57142857142856,45430.611410253514,20.299404730138406,0.03966470245576335,86.68444454289619,3.15251052758169,0.21754885888431438,79.21892411262075,2.610365418161912,0.9291324279580013,0.9450523904738203,0.9560170744571139
16,0,35,10,Median,40,[   0   71  541  758 1306 1706 1880 1922],7,548,42,274.57142857142856,47519.87827302353,20.872835332948235,0.037685925065539534,88.47718004360947,2.9340360193922566,0.22005485092288368,82.43247470225312,2.455290147994137,0.9084623108241541,0.9227083407269823,0.9387308828242712
