,0,1,2,3,4,5,6
"Start-end time, sec","(9.5, 78.5)","(79.5, 270.5)","(271.5, 361.5)","(362.5, 574.5)","(575.5, 667.5)","(668.5, 944.5)","(945.5, 1055.5)"
"Time length, sec",69.0,191.0,90.0,212.0,92.0,276.0,110.0
Number of epochs,69,183,85,205,85,265,105
