,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 219.5)","(220.5, 297.5)","(298.5, 716.5)","(717.5, 767.5)","(768.5, 919.5)","(920.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,157.0,77.0,418.0,50.0,151.0,139.0,96.0,77.0,65.0
Number of epochs,52,143,68,372,46,141,127,91,77,63
