,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 636.5)","(637.5, 762.5)","(763.5, 1170.5)","(1171.5, 1323.5)","(1324.5, 1502.5)","(1503.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,198.0,125.0,407.0,152.0,178.0,541.0,300.0
Number of epochs,372,169,105,348,122,159,471,271
